date,value
2014-01-01,123.97
2014-01-02,124.17
2014-01-03,123.63
2014-01-06,122.71
2014-01-07,121.93
2014-01-08,121.61
2014-01-09,121.73
2014-01-10,122.51
2014-01-13,124.08
2014-01-15,125.55
2014-01-16,126.68
2014-01-17,123.49
2014-01-20,120.69
2014-01-21,120.68
2014-01-22,120.44
2014-01-23,119.87
2014-01-24,117.62
2014-01-27,121.24
2014-01-28,120.67
2014-01-30,122.49
2014-01-31,122.41
2014-02-03,119.65
2014-02-04,117.44
2014-02-05,120.71
2014-02-06,121.49
2014-02-07,120.78
2014-02-10,119.38
2014-02-11,119.05
2014-02-12,120.16
2014-02-13,119.23
2014-02-14,118.63
2014-02-17,122.26
2014-02-18,120.26
2014-02-19,122.14
2014-02-20,122.02
2014-02-21,122.60
2014-02-24,121.74
2014-02-25,121.67
2014-02-26,122.69
2014-02-27,119.42
2014-02-28,122.71
2014-03-03,121.51
2014-03-04,120.58
2014-03-05,121.41
2014-03-06,122.34
2014-03-07,122.45
2014-03-10,121.38
2014-03-11,121.45
2014-03-12,122.56
2014-03-13,122.13
2014-03-14,123.00
2014-03-18,124.36
2014-03-19,123.19
2014-03-20,122.08
2014-03-21,120.97
2014-03-24,123.73
2014-03-25,121.33
2014-03-26,121.45
2014-03-27,123.32
2014-03-28,121.41
2014-03-31,126.13
2014-04-01,125.84
2014-04-02,121.50
2014-04-03,120.00
2014-04-04,121.13
2014-04-07,120.50
2014-04-09,122.84
2014-04-11,119.03
2014-04-15,115.57
2014-04-16,119.44
2014-04-17,119.91
2014-04-21,123.28
2014-04-22,121.67
2014-04-23,122.11
2014-04-24,122.94
2014-04-25,122.10
2014-04-28,121.57
2014-04-29,121.11
2014-04-30,128.13
2014-05-01,122.08
2014-05-02,122.77
2014-05-05,121.61
2014-05-06,123.39
2014-05-07,122.33
2014-05-08,122.25
2014-05-09,121.82
2014-05-12,122.28
2014-05-13,123.82
2014-05-15,122.78
2014-05-16,123.19
2014-05-19,123.21
2014-05-20,123.00
2014-05-21,123.74
2014-05-22,123.73
2014-05-23,121.72
2014-05-26,121.06
2014-05-27,119.97
2014-05-28,120.71
2014-05-29,122.60
2014-05-30,121.88
2014-06-02,120.90
2014-06-03,121.12
2014-06-04,120.56
2014-06-05,119.05
2014-06-06,120.67
2014-06-09,120.80
2014-06-10,118.46
2014-06-11,118.17
2014-06-12,118.10
2014-06-13,113.16
2014-06-16,119.32
2014-06-17,116.76
2014-06-18,114.89
2014-06-19,116.67
2014-06-20,117.66
2014-06-23,117.36
2014-06-24,119.79
2014-06-25,118.21
2014-06-26,119.95
2014-06-27,119.40
2014-06-30,120.61
2014-07-01,119.39
2014-07-02,120.35
2014-07-03,122.00
2014-07-04,122.90
2014-07-07,122.07
2014-07-08,122.02
2014-07-09,121.56
2014-07-10,121.95
2014-07-11,121.55
2014-07-14,125.61
2014-07-15,122.79
2014-07-16,123.41
2014-07-17,122.50
2014-07-18,122.00
2014-07-21,122.95
2014-07-22,121.68
2014-07-23,122.23
2014-07-24,122.85
2014-07-25,121.67
2014-07-28,119.21
2014-07-30,120.62
2014-07-31,121.45
2014-08-01,121.05
2014-08-04,123.37
2014-08-05,121.07
2014-08-06,119.00
2014-08-07,121.95
2014-08-08,122.48
2014-08-11,121.00
2014-08-12,122.38
2014-08-13,121.02
2014-08-14,119.65
2014-08-19,119.18
