date,value
2014-01-01,97.82
2014-01-02,98.65
2014-01-03,99.20
2014-01-06,98.57
2014-01-07,101.48
2014-01-08,101.23
2014-01-09,99.40
2014-01-10,100.17
2014-01-13,98.97
2014-01-15,99.21
2014-01-16,98.60
2014-01-17,98.27
2014-01-20,99.51
2014-01-21,98.10
2014-01-22,97.22
2014-01-23,99.38
2014-01-24,94.35
2014-01-27,96.49
2014-01-28,97.23
2014-01-30,97.29
2014-01-31,97.46
2014-02-03,96.18
2014-02-04,99.24
2014-02-05,97.86
2014-02-06,97.87
2014-02-07,97.84
2014-02-10,97.72
2014-02-11,98.00
2014-02-12,97.05
2014-02-13,97.70
2014-02-14,100.79
2014-02-17,97.68
2014-02-18,98.13
2014-02-19,98.98
2014-02-20,98.26
2014-02-21,98.43
2014-02-24,97.76
2014-02-25,97.74
2014-02-26,98.50
2014-02-27,102.45
2014-02-28,97.03
2014-03-03,98.17
2014-03-04,98.25
2014-03-05,98.67
2014-03-06,97.31
2014-03-07,96.57
2014-03-10,97.87
2014-03-11,98.72
2014-03-12,98.45
2014-03-13,97.69
2014-03-14,98.35
2014-03-18,97.74
2014-03-19,98.40
2014-03-20,97.93
2014-03-21,97.98
2014-03-24,99.55
2014-03-25,98.02
2014-03-26,96.44
2014-03-27,97.28
2014-03-28,97.51
2014-03-31,96.94
2014-04-01,102.30
2014-04-02,95.71
2014-04-03,97.85
2014-04-04,97.24
2014-04-07,97.54
2014-04-09,98.29
2014-04-11,95.40
2014-04-15,96.69
2014-04-16,97.50
2014-04-17,100.03
2014-04-21,96.60
2014-04-22,97.38
2014-04-23,99.37
2014-04-24,97.79
2014-04-25,99.00
2014-04-28,99.43
2014-04-29,98.64
2014-04-30,101.28
2014-05-01,95.39
2014-05-02,99.40
2014-05-05,97.38
2014-05-06,97.00
2014-05-07,96.33
2014-05-08,97.93
2014-05-09,98.81
2014-05-12,97.10
2014-05-13,97.78
2014-05-15,97.26
2014-05-16,98.49
2014-05-19,98.49
2014-05-20,97.76
2014-05-21,98.54
2014-05-22,98.18
2014-05-23,98.26
2014-05-26,97.95
2014-05-27,96.44
2014-05-28,96.78
2014-05-29,97.40
2014-05-30,96.15
2014-06-02,96.46
2014-06-03,97.11
2014-06-04,96.68
2014-06-05,96.15
2014-06-06,97.92
2014-06-09,97.08
2014-06-10,96.24
2014-06-11,96.10
2014-06-12,96.04
2014-06-13,97.14
2014-06-16,95.58
2014-06-17,97.02
2014-06-18,96.41
2014-06-19,97.69
2014-06-20,98.52
2014-06-23,98.02
2014-06-24,97.38
2014-06-25,96.87
2014-06-26,96.82
2014-06-27,96.16
2014-06-30,96.22
2014-07-01,97.80
2014-07-02,97.67
2014-07-03,97.94
2014-07-04,98.42
2014-07-07,97.20
2014-07-08,97.77
2014-07-09,96.68
2014-07-10,98.11
2014-07-11,97.22
2014-07-14,97.58
2014-07-15,97.72
2014-07-16,96.94
2014-07-17,96.50
2014-07-18,97.82
2014-07-21,95.67
2014-07-22,96.64
2014-07-23,96.43
2014-07-24,97.43
2014-07-25,96.98
2014-07-28,93.49
2014-07-30,97.68
2014-07-31,97.29
2014-08-01,97.18
2014-08-04,97.92
2014-08-05,97.89
2014-08-06,97.67
2014-08-07,97.34
2014-08-08,98.10
2014-08-11,96.74
2014-08-12,97.30
2014-08-13,97.33
