date,value
2014-01-01,69.48
2014-01-02,70.48
2014-01-03,71.06
2014-01-06,70.86
2014-01-07,69.88
2014-01-08,70.11
2014-01-09,70.16
2014-01-10,71.30
2014-01-13,71.46
2014-01-15,72.58
2014-01-16,72.23
2014-01-17,70.38
2014-01-20,71.38
2014-01-21,70.62
2014-01-22,70.88
2014-01-23,70.77
2014-01-24,70.05
2014-01-27,70.66
2014-01-28,71.07
2014-01-30,70.70
2014-01-31,70.38
2014-02-03,70.20
2014-02-04,69.73
2014-02-05,69.83
2014-02-06,69.68
2014-02-07,71.00
2014-02-10,71.07
2014-02-11,70.63
2014-02-12,70.54
2014-02-13,70.68
2014-02-14,69.80
2014-02-17,69.79
2014-02-18,71.09
2014-02-19,71.00
2014-02-20,71.15
2014-02-21,70.44
2014-02-24,71.18
2014-02-25,72.19
2014-02-26,71.79
2014-02-27,72.50
2014-02-28,70.73
2014-03-03,70.84
2014-03-04,70.83
2014-03-05,70.54
2014-03-06,70.25
2014-03-07,71.23
2014-03-10,72.13
2014-03-11,72.71
2014-03-12,71.13
2014-03-13,71.77
2014-03-14,72.23
2014-03-18,73.04
2014-03-19,73.32
2014-03-20,73.04
2014-03-21,72.72
2014-03-24,72.76
2014-03-25,72.72
2014-03-26,72.17
2014-03-27,71.96
2014-03-28,72.03
2014-03-31,73.06
2014-04-01,71.19
2014-04-02,72.00
2014-04-03,72.17
2014-04-04,71.96
2014-04-07,71.52
2014-04-09,71.58
2014-04-11,71.92
2014-04-15,72.84
2014-04-16,72.30
2014-04-17,73.39
2014-04-21,71.82
2014-04-22,72.38
2014-04-23,71.38
2014-04-24,72.33
2014-04-25,72.16
2014-04-28,71.74
2014-04-29,71.85
2014-04-30,71.43
2014-05-01,74.58
2014-05-02,71.72
2014-05-05,71.56
2014-05-06,71.38
2014-05-07,70.88
2014-05-08,71.68
2014-05-09,71.67
2014-05-12,71.05
2014-05-13,71.63
2014-05-15,71.86
2014-05-16,72.70
2014-05-19,71.87
2014-05-20,71.47
2014-05-21,71.07
2014-05-22,71.14
2014-05-23,71.81
2014-05-26,70.71
2014-05-27,70.58
2014-05-28,70.69
2014-05-29,70.47
2014-05-30,70.63
2014-06-02,70.90
2014-06-03,70.38
2014-06-04,69.93
2014-06-05,70.19
2014-06-06,70.90
2014-06-09,70.47
2014-06-10,69.89
2014-06-11,69.50
2014-06-12,69.10
2014-06-13,69.75
2014-06-16,70.77
2014-06-17,71.93
2014-06-18,70.48
2014-06-19,70.31
2014-06-20,71.12
2014-06-23,72.11
2014-06-24,70.23
2014-06-25,71.53
2014-06-26,70.84
2014-06-27,70.87
2014-06-30,70.63
2014-07-01,71.29
2014-07-02,71.55
2014-07-03,71.42
2014-07-04,71.42
2014-07-07,71.36
2014-07-08,70.58
2014-07-09,71.00
2014-07-10,71.32
2014-07-11,70.94
2014-07-14,71.71
2014-07-15,71.26
2014-07-16,70.16
2014-07-17,70.48
2014-07-18,70.26
2014-07-21,69.83
2014-07-22,69.65
2014-07-23,69.66
2014-07-24,69.87
2014-07-25,69.00
2014-07-28,68.86
2014-07-30,69.44
2014-07-31,70.19
2014-08-01,70.15
2014-08-04,69.88
2014-08-05,70.50
2014-08-06,70.34
2014-08-07,69.94
2014-08-08,69.58
2014-08-11,69.42
2014-08-12,69.97
2014-08-13,69.88
2014-08-14,69.43
2014-08-19,67.89
2014-08-20,68.20
2014-08-21,68.94
2014-08-22,68.84
2014-08-25,69.21
2014-08-26,68.87
2014-08-27,67.71
2014-08-28,68.41
2014-08-29,70.90
2014-09-01,68.83
2014-09-02,68.53
2014-09-03,68.34
2014-09-04,67.97
2014-09-05,67.81
2014-09-08,66.65
2014-09-09,67.71
2014-09-10,66.97
2014-09-11,67.73
2014-09-12,67.79
2014-09-15,65.79
2014-09-16,66.90
2014-09-17,67.21
2014-09-18,65.90
2014-09-19,67.50
2014-09-22,67.06
2014-09-23,68.00
2014-09-24,68.15
2014-09-25,67.77
2014-09-26,67.19
2014-09-29,67.78
2014-09-30,66.73
2014-10-07,66.77
2014-10-08,68.86
2014-10-09,68.37
2014-10-10,67.97
2014-10-13,67.69
2014-10-14,67.11
2014-10-15,68.48
2014-10-16,66.82
2014-10-17,67.69
2014-10-20,68.47
2014-10-21,68.24
2014-10-22,67.26
2014-10-24,68.14
2014-10-27,67.94
2014-10-28,67.76
2014-10-29,67.58
2014-10-31,67.35
2014-11-03,67.84
2014-11-05,67.85
2014-11-07,67.58
2014-11-10,68.14
2014-11-11,67.59
2014-11-12,67.45
2014-11-13,67.24
2014-11-14,66.86
2014-11-17,66.51
2014-11-18,66.97
2014-11-19,67.43
2014-11-20,67.35
2014-11-21,67.39
2014-11-24,67.58
2014-11-25,67.12
2014-11-26,65.06
2014-11-27,66.19
2014-11-28,66.32
2014-12-01,66.47
2014-12-02,67.36
2014-12-03,66.72
2014-12-04,66.56
2014-12-05,66.16
2014-12-08,66.00
2014-12-09,65.91
2014-12-10,66.66
2014-12-11,66.42
2014-12-12,65.89
2014-12-15,66.09
2014-12-16,65.77
2014-12-17,65.69
2014-12-18,65.09
2014-12-19,66.38
2014-12-22,66.29
2014-12-23,66.42
2014-12-24,65.63
2014-12-26,64.90
2014-12-29,66.82
2014-12-30,66.74
2014-12-31,67.08
2015-01-01,69.52
2015-01-02,66.94
2015-01-05,68.00
2015-01-06,68.31
2015-01-07,67.38
2015-01-08,68.11
2015-01-09,67.94
2015-01-12,67.68
2015-01-13,67.17
2015-01-14,67.97
2015-01-15,69.32
2015-01-16,70.23
2015-01-19,68.46
2015-01-20,68.15
2015-01-21,68.20
2015-01-22,68.08
2015-01-23,68.58
2015-01-27,67.65
2015-01-28,67.72
2015-01-30,67.85
2015-02-02,67.18
2015-02-03,66.84
2015-02-04,67.43
2015-02-05,67.63
2015-02-06,67.18
2015-02-09,66.85
2015-02-10,66.90
2015-02-11,66.55
2015-02-12,67.11
2015-02-13,66.85
2015-02-16,66.84
2015-02-17,67.60
2015-02-18,66.78
2015-02-19,66.86
2015-02-20,66.86
2015-02-23,67.72
2015-02-24,67.49
2015-02-25,66.72
2015-02-26,68.00
2015-02-27,67.64
2015-03-02,68.38
2015-03-03,68.26
2015-03-04,67.74
2015-03-05,65.41
2015-03-09,67.37
2015-03-10,68.00
2015-03-11,67.46
2015-03-12,67.45
2015-03-13,67.42
2015-03-16,67.62
2015-03-17,67.68
2015-03-18,67.75
2015-03-19,66.79
2015-03-20,66.77
2015-03-23,68.05
2015-03-24,67.28
2015-03-25,67.25
2015-03-26,67.63
2015-03-27,67.34
2015-03-30,68.03
2015-03-31,67.14
2015-04-01,66.89
2015-04-06,67.18
2015-04-07,66.93
2015-04-08,66.98
2015-04-09,66.70
2015-04-10,66.77
2015-04-13,66.48
2015-04-15,67.17
2015-04-16,66.35
2015-04-17,66.86
2015-04-20,66.92
2015-04-21,67.75
2015-04-22,65.51
2015-04-23,65.31
2015-04-24,66.97
2015-04-27,66.10
2015-04-28,66.64
2015-04-29,65.95
2015-04-30,65.03
2015-05-01,68.04
2015-05-05,67.58
2015-05-06,67.46
2015-05-07,67.10
2015-05-08,67.07
2015-05-11,66.60
2015-05-12,67.09
2015-05-13,67.28
2015-05-14,66.09
2015-05-15,66.16
2015-05-18,66.57
2015-05-19,66.57
2015-05-20,65.83
2015-05-21,67.19
2015-05-22,67.09
2015-05-25,67.61
2015-05-26,66.70
2015-05-27,66.11
2015-05-28,66.85
2015-05-29,66.87
2015-06-01,66.77
2015-06-02,65.89
2015-06-03,65.95
2015-06-04,66.91
2015-06-05,66.72
2015-06-08,67.40
2015-06-09,67.41
2015-06-10,66.86
2015-06-11,67.07
2015-06-12,67.57
2015-06-15,66.74
2015-06-16,66.78
2015-06-17,66.84
2015-06-18,66.09
2015-06-19,66.63
2015-06-22,66.32
2015-06-23,66.81
2015-06-24,66.34
2015-06-25,67.00
2015-06-26,67.43
2015-06-29,67.59
2015-06-30,67.38
2015-07-01,67.04
2015-07-02,67.02
2015-07-03,67.47
2015-07-06,66.65
2015-07-07,66.54
2015-07-08,66.62
2015-07-09,66.47
2015-07-10,67.13
2015-07-13,66.49
2015-07-14,65.98
2015-07-15,66.24
2015-07-16,66.61
2015-07-17,65.06
2015-07-20,66.16
2015-07-21,65.54
2015-07-22,65.73
2015-07-23,65.45
2015-07-24,65.35
2015-07-27,65.44
2015-07-28,65.71
2015-07-29,65.64
2015-07-30,66.53
2015-07-31,65.80
2015-08-03,65.75
2015-08-04,66.02
2015-08-05,65.25
2015-08-06,64.96
2015-08-07,65.56
2015-08-10,65.39
2015-08-11,64.85
2015-08-12,65.25
2015-08-13,65.33
2015-08-14,64.57
2015-08-17,64.20
2015-08-18,66.13
2015-08-19,65.68
2015-08-20,65.28
2015-08-21,65.70
2015-08-24,65.18
2015-08-25,64.20
2015-08-26,64.41
2015-08-27,64.92
2015-08-28,65.07
2015-08-31,64.92
2015-09-01,64.28
2015-09-02,64.28
2015-09-03,64.46
2015-09-04,64.28
2015-09-07,65.14
2015-09-08,64.52
2015-09-09,64.50
2015-09-10,64.41
2015-09-11,64.48
2015-09-14,64.50
2015-09-15,64.68
2015-09-16,64.63
2015-09-17,69.48
2015-09-18,63.12
2015-09-21,63.96
2015-09-22,64.33
2015-09-23,63.63
2015-09-24,64.55
2015-09-28,64.12
2015-09-29,63.96
2015-09-30,64.25
2015-10-01,64.08
2015-10-05,64.58
2015-10-06,64.59
2015-10-07,64.33
2015-10-08,64.51
2015-10-09,63.90
2015-10-12,65.71
2015-10-13,64.00
2015-10-14,64.02
2015-10-15,63.79
2015-10-16,63.40
2015-10-19,64.36
2015-10-20,64.51
2015-10-21,64.35
2015-10-23,63.36
2015-10-26,65.04
2015-10-27,64.26
2015-10-28,63.88
2015-10-29,64.67
2015-10-30,62.98
2015-10-31,60.56
2015-11-01,60.09
2015-11-02,62.55
2015-11-03,63.98
2015-11-04,63.41
2015-11-05,63.71
2015-11-06,63.58
2015-11-07,61.25
2015-11-08,58.67
2015-11-09,63.04
