date,value
2014-01-01,86.41
2014-01-02,84.93
2014-01-03,85.31
2014-01-06,83.89
2014-01-07,86.38
2014-01-08,85.93
2014-01-09,85.90
2014-01-10,86.09
2014-01-13,85.93
2014-01-15,86.81
2014-01-16,84.77
2014-01-17,85.07
2014-01-20,84.15
2014-01-21,83.25
2014-01-22,84.24
2014-01-23,84.67
2014-01-24,82.92
2014-01-27,83.58
2014-01-28,83.90
2014-01-30,83.37
2014-01-31,83.56
2014-02-03,83.75
2014-02-04,84.95
2014-02-05,84.96
2014-02-06,83.75
2014-02-07,84.60
2014-02-10,84.60
2014-02-11,83.70
2014-02-12,83.60
2014-02-13,84.23
2014-02-14,85.29
2014-02-17,84.58
2014-02-18,83.64
2014-02-19,83.47
2014-02-20,84.00
2014-02-21,83.94
2014-02-24,84.30
2014-02-25,84.00
2014-02-26,84.53
2014-02-27,84.71
2014-02-28,83.09
2014-03-03,84.03
2014-03-04,83.22
2014-03-05,84.45
2014-03-06,83.81
2014-03-07,83.68
2014-03-10,83.36
2014-03-11,84.55
2014-03-12,84.88
2014-03-13,85.09
2014-03-14,85.13
2014-03-18,85.79
2014-03-19,86.26
2014-03-20,86.24
2014-03-21,85.67
2014-03-24,84.84
2014-03-25,84.82
2014-03-26,85.16
2014-03-27,85.07
2014-03-28,84.56
2014-03-31,85.05
2014-04-01,86.00
2014-04-02,85.06
2014-04-03,84.25
2014-04-04,84.37
2014-04-07,84.08
2014-04-09,85.31
2014-04-11,84.38
2014-04-15,85.57
2014-04-16,85.41
2014-04-17,88.11
2014-04-21,85.86
2014-04-22,85.16
2014-04-23,84.52
2014-04-24,84.27
2014-04-25,84.90
2014-04-28,84.10
2014-04-29,84.39
2014-04-30,85.90
2014-05-01,84.75
2014-05-02,84.77
2014-05-05,85.46
2014-05-06,84.81
2014-05-07,84.77
2014-05-08,83.77
2014-05-09,84.85
2014-05-12,83.41
2014-05-13,83.92
2014-05-15,84.77
2014-05-16,85.20
2014-05-19,84.53
2014-05-20,84.73
2014-05-21,84.31
2014-05-22,84.26
2014-05-23,83.41
2014-05-26,83.28
2014-05-27,82.63
2014-05-28,83.69
2014-05-29,83.68
2014-05-30,83.18
2014-06-02,83.79
2014-06-03,83.81
2014-06-04,83.13
2014-06-05,82.81
2014-06-06,83.03
2014-06-09,82.69
2014-06-10,83.33
2014-06-11,82.71
2014-06-12,82.63
2014-06-13,82.43
2014-06-16,83.31
2014-06-17,85.52
2014-06-18,84.94
2014-06-19,84.24
2014-06-20,85.73
2014-06-23,85.86
2014-06-24,84.61
2014-06-25,84.11
2014-06-26,84.00
2014-06-27,84.26
2014-06-30,84.03
2014-07-01,84.50
2014-07-02,84.59
2014-07-03,84.62
2014-07-04,84.54
2014-07-07,84.16
2014-07-08,84.34
2014-07-09,84.47
2014-07-10,84.66
2014-07-11,84.69
2014-07-14,85.03
2014-07-15,84.46
2014-07-16,84.59
2014-07-17,84.39
2014-07-18,84.76
2014-07-21,84.85
2014-07-22,84.12
2014-07-23,84.68
2014-07-24,85.23
2014-07-25,83.89
2014-07-28,83.84
2014-07-30,83.70
2014-07-31,84.67
2014-08-01,84.18
2014-08-04,84.65
2014-08-05,84.86
2014-08-06,84.47
2014-08-07,84.00
2014-08-08,84.50
2014-08-11,84.35
2014-08-12,84.30
2014-08-13,84.25
2014-08-14,84.11
2014-08-19,84.17
2014-08-20,84.08
2014-08-21,83.97
2014-08-22,84.16
2014-08-25,83.97
2014-08-26,83.80
2014-08-27,83.82
2014-08-28,84.08
2014-08-29,85.64
2014-09-01,84.67
2014-09-02,84.13
2014-09-03,84.19
2014-09-04,84.38
2014-09-05,83.95
2014-09-08,84.35
2014-09-09,84.42
2014-09-10,84.13
2014-09-11,84.10
2014-09-12,84.20
2014-09-15,84.22
2014-09-16,84.65
2014-09-17,84.10
2014-09-18,83.94
2014-09-19,83.84
2014-09-22,83.53
2014-09-23,84.82
2014-09-24,85.03
2014-09-25,84.11
2014-09-26,84.25
2014-09-29,84.25
2014-09-30,84.46
2014-10-07,84.21
2014-10-08,85.30
2014-10-09,85.00
2014-10-10,83.98
2014-10-13,84.57
2014-10-14,83.75
2014-10-15,84.30
2014-10-16,83.51
2014-10-17,83.88
2014-10-20,84.10
2014-10-21,84.15
2014-10-22,82.68
2014-10-24,85.06
2014-10-27,83.90
2014-10-28,83.76
2014-10-29,83.51
2014-10-31,83.95
2014-11-03,83.08
2014-11-05,83.78
2014-11-07,83.89
2014-11-10,83.83
2014-11-11,83.87
2014-11-12,84.27
2014-11-13,83.80
2014-11-14,83.77
2014-11-17,83.71
2014-11-18,84.12
2014-11-19,84.61
2014-11-20,83.95
2014-11-21,84.59
2014-11-24,84.21
2014-11-25,83.77
2014-11-26,83.72
2014-11-27,83.56
2014-11-28,83.54
2014-12-01,83.44
2014-12-02,84.05
2014-12-03,82.90
2014-12-04,83.85
2014-12-05,82.90
2014-12-08,84.38
2014-12-09,83.40
2014-12-10,83.51
2014-12-11,82.98
2014-12-12,83.44
2014-12-15,83.69
2014-12-16,83.44
2014-12-17,82.68
2014-12-18,83.73
2014-12-19,82.73
2014-12-22,83.07
2014-12-23,82.95
2014-12-24,82.90
2014-12-26,82.69
2014-12-29,83.90
2014-12-30,83.60
2014-12-31,83.71
2015-01-01,84.59
2015-01-02,84.10
2015-01-05,84.02
2015-01-06,83.61
2015-01-07,82.83
2015-01-08,84.11
2015-01-09,83.85
2015-01-12,84.67
2015-01-13,84.12
2015-01-14,85.63
2015-01-15,85.47
2015-01-16,85.54
2015-01-19,84.55
2015-01-20,85.09
2015-01-21,84.51
2015-01-22,83.69
2015-01-23,83.39
2015-01-27,83.95
2015-01-28,84.26
2015-01-30,84.26
2015-02-02,84.90
2015-02-03,85.15
2015-02-04,84.97
2015-02-05,84.82
2015-02-06,84.95
2015-02-09,84.05
2015-02-10,84.48
2015-02-11,84.24
2015-02-12,84.72
2015-02-13,83.51
2015-02-16,83.69
2015-02-17,89.13
2015-02-18,85.00
2015-02-19,84.08
2015-02-20,85.12
2015-02-23,84.33
2015-02-24,85.10
2015-02-25,85.27
2015-02-26,86.31
2015-02-27,84.42
2015-03-02,86.00
2015-03-03,85.22
2015-03-04,85.69
2015-03-05,85.04
2015-03-09,85.51
2015-03-10,85.54
2015-03-11,85.11
2015-03-12,84.93
2015-03-13,84.59
2015-03-16,84.26
2015-03-17,85.07
2015-03-18,86.71
2015-03-19,84.48
2015-03-20,84.10
2015-03-23,84.53
2015-03-24,83.60
2015-03-25,84.53
2015-03-26,84.82
2015-03-27,84.28
2015-03-30,84.61
2015-03-31,84.55
2015-04-01,84.77
2015-04-06,84.36
2015-04-07,84.27
2015-04-08,84.72
2015-04-09,85.02
2015-04-10,84.87
2015-04-13,85.27
2015-04-15,85.58
2015-04-16,85.20
2015-04-17,85.13
2015-04-20,85.73
2015-04-21,85.73
2015-04-22,84.30
2015-04-23,84.59
2015-04-24,84.97
