date,value
2014-01-01,96.36
2014-01-02,97.22
2014-01-03,97.16
2014-01-06,98.46
2014-01-07,99.29
2014-01-08,99.27
2014-01-09,98.70
2014-01-10,98.80
2014-01-13,97.97
2014-01-15,98.41
2014-01-16,96.22
2014-01-17,95.46
2014-01-20,96.51
2014-01-21,95.47
2014-01-22,97.86
2014-01-23,95.92
2014-01-24,94.21
2014-01-27,95.51
2014-01-28,95.08
2014-01-30,95.19
2014-01-31,95.25
2014-02-03,94.92
2014-02-04,95.59
2014-02-05,95.25
2014-02-06,95.67
2014-02-07,95.08
2014-02-10,95.39
2014-02-11,95.24
2014-02-12,95.31
2014-02-13,96.03
2014-02-14,95.45
2014-02-17,96.53
2014-02-18,95.03
2014-02-19,96.00
2014-02-20,96.10
2014-02-21,96.68
2014-02-24,96.63
2014-02-25,96.11
2014-02-26,96.22
2014-02-27,100.58
2014-02-28,96.35
2014-03-03,96.00
2014-03-04,95.59
2014-03-05,98.14
2014-03-06,95.41
2014-03-07,95.54
2014-03-10,96.34
2014-03-11,97.03
2014-03-12,96.60
2014-03-13,96.47
2014-03-14,97.13
2014-03-18,97.65
2014-03-19,97.72
2014-03-20,97.00
2014-03-21,96.91
2014-03-24,97.08
2014-03-25,96.92
2014-03-26,96.34
2014-03-27,96.42
2014-03-28,95.59
2014-03-31,97.21
2014-04-01,98.83
2014-04-02,95.58
2014-04-03,96.87
2014-04-04,94.67
2014-04-07,94.61
2014-04-09,96.81
2014-04-11,94.75
2014-04-15,95.46
2014-04-16,95.81
2014-04-17,96.77
2014-04-21,95.38
2014-04-22,95.39
2014-04-23,97.28
2014-04-24,96.21
2014-04-25,96.05
2014-04-28,95.88
2014-04-29,95.84
2014-04-30,97.21
2014-05-01,96.67
2014-05-02,96.86
2014-05-05,95.21
2014-05-06,96.00
2014-05-07,95.33
2014-05-08,95.92
2014-05-09,96.68
2014-05-12,95.88
2014-05-13,96.03
2014-05-15,96.72
2014-05-16,97.00
2014-05-19,97.07
2014-05-20,96.62
2014-05-21,97.09
2014-05-22,96.83
2014-05-23,96.02
2014-05-26,95.68
2014-05-27,94.63
2014-05-28,95.12
2014-05-29,95.41
2014-05-30,94.90
2014-06-02,94.33
2014-06-03,94.20
2014-06-04,94.76
2014-06-05,94.70
2014-06-06,95.51
2014-06-09,95.05
2014-06-10,94.50
2014-06-11,93.44
2014-06-12,93.28
2014-06-13,93.10
2014-06-16,93.72
2014-06-17,94.11
2014-06-18,94.54
2014-06-19,95.28
2014-06-20,96.95
2014-06-23,96.97
2014-06-24,95.23
2014-06-25,95.59
2014-06-26,95.00
2014-06-27,95.25
2014-06-30,94.37
2014-07-01,95.84
2014-07-02,96.60
2014-07-03,96.65
2014-07-04,96.65
2014-07-07,96.45
2014-07-08,96.11
2014-07-09,96.05
2014-07-10,96.75
2014-07-11,96.89
2014-07-14,97.20
2014-07-15,96.73
2014-07-16,95.78
2014-07-17,95.37
2014-07-18,96.39
2014-07-21,94.83
2014-07-22,95.50
2014-07-23,95.84
2014-07-24,95.60
2014-07-25,94.12
2014-07-28,94.22
2014-07-30,95.13
2014-07-31,94.95
2014-08-01,94.96
2014-08-04,96.30
2014-08-05,95.82
2014-08-06,95.48
2014-08-07,96.16
2014-08-08,95.87
2014-08-11,95.11
2014-08-12,96.02
2014-08-13,95.47
2014-08-14,94.68
2014-08-19,94.65
2014-08-20,94.72
2014-08-21,94.77
2014-08-22,95.44
2014-08-25,93.76
2014-08-26,93.67
2014-08-27,92.10
2014-08-28,93.98
2014-08-29,102.00
2014-09-01,94.74
2014-09-02,95.26
2014-09-03,94.70
2014-09-04,95.59
2014-09-05,93.96
2014-09-08,94.85
2014-09-09,94.25
2014-09-10,94.48
2014-09-11,94.75
2014-09-12,94.62
2014-09-15,93.05
2014-09-16,93.81
2014-09-17,92.67
2014-09-18,93.05
2014-09-19,92.84
2014-09-22,93.63
2014-09-23,95.57
2014-09-24,94.95
2014-09-25,92.60
2014-09-26,93.33
2014-09-29,94.31
2014-09-30,93.67
2014-10-07,93.86
2014-10-08,93.74
2014-10-09,95.47
2014-10-10,94.31
2014-10-13,94.16
2014-10-14,94.08
2014-10-15,94.55
2014-10-16,92.87
2014-10-17,93.54
2014-10-20,94.60
2014-10-21,94.15
2014-10-22,92.26
2014-10-24,93.04
2014-10-27,94.32
2014-10-28,94.65
2014-10-29,91.69
2014-10-31,94.61
2014-11-03,93.67
2014-11-05,94.85
2014-11-07,94.18
2014-11-10,94.58
2014-11-11,94.54
2014-11-12,94.40
2014-11-13,94.06
2014-11-14,94.16
2014-11-17,93.38
2014-11-18,93.83
2014-11-19,95.21
2014-11-20,94.62
2014-11-21,94.90
2014-11-24,93.51
2014-11-25,93.80
2014-11-26,93.44
2014-11-27,93.33
2014-11-28,92.40
2014-12-01,93.58
2014-12-02,94.63
2014-12-03,94.09
2014-12-04,94.41
2014-12-05,92.61
2014-12-08,94.86
2014-12-09,92.81
2014-12-10,95.27
2014-12-11,95.06
2014-12-12,93.98
2014-12-15,94.69
2014-12-16,94.47
2014-12-17,94.02
2014-12-18,95.43
2014-12-19,94.32
2014-12-22,94.49
2014-12-23,94.17
2014-12-24,94.20
2014-12-26,93.55
2014-12-29,95.13
2014-12-30,94.63
2014-12-31,94.34
2015-01-01,95.63
2015-01-02,94.72
2015-01-05,93.06
2015-01-06,94.79
2015-01-07,93.49
2015-01-08,95.42
2015-01-09,94.13
2015-01-12,95.42
2015-01-13,94.88
2015-01-14,95.88
2015-01-15,98.42
2015-01-16,97.49
2015-01-19,94.62
2015-01-20,95.23
2015-01-21,95.06
2015-01-22,93.92
2015-01-23,93.50
2015-01-27,95.27
2015-01-28,95.27
2015-01-30,94.76
2015-02-02,95.02
2015-02-03,91.74
2015-02-04,94.96
2015-02-05,95.59
2015-02-06,94.84
2015-02-09,92.96
2015-02-10,94.79
2015-02-11,94.92
2015-02-12,95.46
2015-02-13,95.04
2015-02-16,92.92
2015-02-17,94.72
2015-02-18,94.51
2015-02-19,93.78
2015-02-20,95.08
2015-02-23,94.92
2015-02-24,96.04
2015-02-25,95.72
2015-02-26,96.00
2015-02-27,95.25
2015-03-02,96.10
2015-03-03,95.21
2015-03-04,94.50
2015-03-05,91.13
2015-03-09,93.51
2015-03-10,93.85
2015-03-11,92.82
2015-03-12,93.20
2015-03-13,93.56
