date,value
2014-01-01,74.31
2014-01-02,73.98
2014-01-03,74.45
2014-01-06,73.69
2014-01-07,75.53
2014-01-08,75.36
2014-01-09,75.37
2014-01-10,75.60
2014-01-13,76.60
2014-01-15,75.32
2014-01-16,73.36
2014-01-17,75.00
2014-01-20,75.38
2014-01-21,74.56
2014-01-22,73.55
2014-01-23,75.50
2014-01-24,72.59
2014-01-27,73.63
2014-01-28,73.98
2014-01-30,74.02
2014-01-31,74.65
2014-02-03,73.69
2014-02-04,75.62
2014-02-05,74.38
2014-02-06,74.66
2014-02-07,74.77
2014-02-10,74.77
2014-02-11,74.40
2014-02-12,74.04
2014-02-13,75.04
2014-02-14,75.08
2014-02-17,75.30
2014-02-18,74.92
2014-02-19,74.43
2014-02-20,74.87
2014-02-21,74.94
2014-02-24,74.47
2014-02-25,74.80
2014-02-26,74.35
2014-02-27,80.31
2014-02-28,73.76
2014-03-03,75.00
2014-03-04,75.64
2014-03-05,75.69
2014-03-06,74.50
2014-03-07,74.31
2014-03-10,74.90
2014-03-11,75.42
2014-03-12,75.84
2014-03-13,77.29
2014-03-14,76.37
2014-03-18,76.60
2014-03-19,77.04
2014-03-20,77.15
2014-03-21,77.33
2014-03-24,76.73
2014-03-25,76.53
2014-03-26,76.54
2014-03-27,76.96
2014-03-28,76.78
2014-03-31,75.60
2014-04-01,78.72
2014-04-02,76.09
2014-04-03,76.49
2014-04-04,75.84
2014-04-07,76.17
2014-04-09,75.84
2014-04-11,74.84
2014-04-15,75.59
2014-04-16,75.77
2014-04-17,78.34
2014-04-21,77.46
2014-04-22,76.77
2014-04-23,77.45
2014-04-24,75.93
2014-04-25,76.34
2014-04-28,77.04
2014-04-29,76.51
2014-04-30,78.91
2014-05-01,73.47
2014-05-02,76.51
2014-05-05,76.58
2014-05-06,76.52
2014-05-07,76.40
2014-05-08,76.00
2014-05-09,76.90
2014-05-12,77.02
2014-05-13,77.26
2014-05-15,76.94
2014-05-16,78.02
2014-05-19,77.17
2014-05-20,77.13
2014-05-21,77.21
2014-05-22,77.19
2014-05-23,76.77
2014-05-26,77.40
2014-05-27,76.08
2014-05-28,76.38
2014-05-29,76.15
2014-05-30,75.38
2014-06-02,75.94
2014-06-03,76.17
2014-06-04,76.35
2014-06-05,75.74
2014-06-06,76.06
2014-06-09,75.79
2014-06-10,76.33
2014-06-11,75.69
2014-06-12,75.48
2014-06-13,75.35
2014-06-16,76.00
2014-06-17,77.54
2014-06-18,75.98
2014-06-19,76.92
2014-06-20,77.84
2014-06-23,77.13
2014-06-24,76.08
2014-06-25,76.93
2014-06-26,77.04
2014-06-27,76.29
2014-06-30,76.02
2014-07-01,77.28
2014-07-02,77.02
2014-07-03,77.11
2014-07-04,77.36
2014-07-07,76.70
2014-07-08,77.57
2014-07-09,76.32
2014-07-10,77.75
2014-07-11,76.77
2014-07-14,77.29
2014-07-15,77.91
2014-07-16,76.44
2014-07-17,77.72
2014-07-18,77.46
2014-07-21,76.89
2014-07-22,76.25
2014-07-23,77.04
2014-07-24,77.82
2014-07-25,77.15
2014-07-28,76.76
2014-07-30,77.92
2014-07-31,78.21
2014-08-01,77.96
2014-08-04,77.98
2014-08-05,77.90
2014-08-06,77.60
2014-08-07,77.50
2014-08-08,77.98
2014-08-11,76.91
2014-08-12,78.45
2014-08-13,77.58
2014-08-14,76.48
2014-08-19,76.86
2014-08-20,76.92
2014-08-21,77.85
2014-08-22,77.96
2014-08-25,77.26
2014-08-26,77.60
2014-08-27,77.18
2014-08-28,77.59
2014-08-29,77.30
2014-09-01,76.77
2014-09-02,77.18
2014-09-03,77.32
2014-09-04,77.57
2014-09-05,76.64
2014-09-08,76.03
2014-09-09,77.09
2014-09-10,76.40
2014-09-11,77.35
2014-09-12,76.82
2014-09-15,75.70
2014-09-16,75.71
2014-09-17,76.04
2014-09-18,76.62
2014-09-19,75.93
2014-09-22,77.40
2014-09-23,77.81
2014-09-24,76.88
2014-09-25,77.29
2014-09-26,77.30
2014-09-29,76.52
2014-09-30,76.89
2014-10-07,77.36
2014-10-08,78.31
2014-10-09,76.87
2014-10-10,76.41
2014-10-13,77.15
2014-10-14,76.75
2014-10-15,75.41
2014-10-16,76.38
2014-10-17,75.76
2014-10-20,76.71
2014-10-21,76.75
2014-10-22,74.16
2014-10-24,76.83
2014-10-27,76.51
2014-10-28,76.19
2014-10-29,76.23
2014-10-31,76.98
2014-11-03,75.38
2014-11-05,76.63
2014-11-07,76.60
2014-11-10,76.09
2014-11-11,76.22
2014-11-12,75.13
2014-11-13,75.28
2014-11-14,75.47
2014-11-17,75.56
2014-11-18,76.37
2014-11-19,76.44
2014-11-20,75.98
2014-11-21,76.22
2014-11-24,77.26
2014-11-25,76.02
2014-11-26,76.86
2014-11-27,76.80
2014-11-28,76.07
2014-12-01,73.81
2014-12-02,76.05
2014-12-03,75.84
2014-12-04,75.61
2014-12-05,75.87
2014-12-08,75.85
2014-12-09,76.54
2014-12-10,75.69
2014-12-11,75.89
2014-12-12,76.63
2014-12-15,75.46
2014-12-16,75.95
2014-12-17,75.30
2014-12-18,76.02
2014-12-19,75.54
2014-12-22,75.87
2014-12-23,76.22
2014-12-24,76.15
2014-12-26,74.83
2014-12-29,76.11
2014-12-30,75.98
2014-12-31,75.09
2015-01-01,74.81
2015-01-02,75.40
2015-01-05,75.27
2015-01-06,75.34
2015-01-07,74.91
2015-01-08,75.97
2015-01-09,75.30
2015-01-12,76.42
2015-01-13,75.64
2015-01-14,77.35
2015-01-15,75.51
2015-01-16,75.58
2015-01-19,75.51
2015-01-20,76.79
2015-01-21,76.56
2015-01-22,77.08
2015-01-23,78.69
2015-01-27,76.94
2015-01-28,77.00
2015-01-30,77.00
2015-02-02,76.52
2015-02-03,77.32
2015-02-04,77.00
2015-02-05,77.43
2015-02-06,77.13
2015-02-09,76.50
2015-02-10,76.66
2015-02-11,76.51
2015-02-12,76.71
2015-02-13,76.42
2015-02-16,75.98
2015-02-17,83.00
2015-02-18,77.29
2015-02-19,76.32
2015-02-20,76.96
2015-02-23,76.85
2015-02-24,76.70
2015-02-25,76.95
2015-02-26,76.64
2015-02-27,76.44
2015-03-02,77.22
2015-03-03,76.00
2015-03-04,76.61
2015-03-05,77.16
2015-03-09,77.23
2015-03-10,76.97
2015-03-11,76.00
2015-03-12,76.08
2015-03-13,76.22
2015-03-16,76.24
2015-03-17,76.79
2015-03-18,76.72
2015-03-19,76.33
2015-03-20,76.00
2015-03-23,76.02
2015-03-24,75.10
2015-03-25,75.56
2015-03-26,75.76
2015-03-27,77.29
2015-03-30,76.85
2015-03-31,75.89
2015-04-01,76.88
2015-04-06,76.40
2015-04-07,75.55
2015-04-08,75.66
2015-04-09,75.67
2015-04-10,75.67
2015-04-13,76.09
2015-04-15,75.93
2015-04-16,76.23
2015-04-17,75.93
2015-04-20,75.40
2015-04-21,77.06
2015-04-22,75.70
2015-04-23,75.66
2015-04-24,75.92
2015-04-27,76.51
2015-04-28,75.60
2015-04-29,75.50
2015-04-30,75.92
2015-05-01,75.93
2015-05-05,75.55
2015-05-06,75.84
2015-05-07,75.58
2015-05-08,75.65
2015-05-11,75.79
2015-05-12,76.45
2015-05-13,76.64
2015-05-14,75.43
2015-05-15,75.18
2015-05-18,76.58
2015-05-19,75.39
2015-05-20,74.63
2015-05-21,75.25
2015-05-22,75.06
2015-05-25,76.44
2015-05-26,75.08
2015-05-27,76.08
2015-05-28,74.81
2015-05-29,74.99
2015-06-01,74.85
2015-06-02,75.60
2015-06-03,75.61
2015-06-04,75.01
2015-06-05,75.12
2015-06-08,75.55
2015-06-09,75.48
2015-06-10,74.89
2015-06-11,74.40
2015-06-12,74.34
2015-06-15,75.30
2015-06-16,74.46
2015-06-17,74.75
2015-06-18,74.74
2015-06-19,73.83
2015-06-22,74.47
2015-06-23,74.13
