date,value
2014-01-01,21.74
2014-01-02,21.79
2014-01-03,22.07
2014-01-06,21.80
2014-01-07,23.89
2014-01-08,21.73
2014-01-09,21.84
2014-01-10,21.80
2014-01-13,21.71
2014-01-15,20.91
2014-01-16,21.18
2014-01-17,22.07
2014-01-20,22.23
2014-01-21,21.82
2014-01-22,21.92
2014-01-23,22.15
2014-01-24,21.59
2014-01-27,21.54
2014-01-28,21.83
2014-01-30,21.80
2014-01-31,21.60
2014-02-03,21.33
2014-02-04,22.18
2014-02-05,21.79
2014-02-06,21.51
2014-02-07,21.93
2014-02-10,21.93
2014-02-11,21.95
2014-02-12,21.38
2014-02-13,21.82
2014-02-14,22.76
2014-02-17,21.34
2014-02-18,21.80
2014-02-19,21.51
2014-02-20,21.69
2014-02-21,21.64
2014-02-24,21.37
2014-02-25,21.73
2014-02-26,21.91
2014-02-27,23.31
2014-02-28,21.59
2014-03-03,21.84
2014-03-04,22.55
2014-03-05,21.56
2014-03-06,21.68
2014-03-07,21.49
2014-03-10,21.64
2014-03-11,21.89
2014-03-12,21.64
2014-03-13,21.95
2014-03-14,21.79
2014-03-18,21.80
2014-03-19,21.45
2014-03-20,21.45
2014-03-21,21.76
2014-03-24,21.85
2014-03-25,21.42
2014-03-26,21.14
2014-03-27,21.09
2014-03-28,21.43
2014-03-31,20.56
2014-04-01,22.59
2014-04-02,21.27
2014-04-03,21.53
2014-04-04,21.51
2014-04-07,21.52
2014-04-09,20.95
2014-04-11,20.59
2014-04-15,20.97
2014-04-16,20.61
2014-04-17,21.18
2014-04-21,21.07
2014-04-22,21.46
2014-04-23,21.56
2014-04-24,20.61
2014-04-25,21.35
2014-04-28,21.37
2014-04-29,21.29
2014-04-30,21.93
2014-05-01,20.50
2014-05-02,21.12
2014-05-05,20.81
2014-05-06,21.67
2014-05-07,20.56
2014-05-08,20.60
2014-05-09,21.37
2014-05-12,20.95
2014-05-13,21.42
2014-05-15,20.73
2014-05-16,21.21
2014-05-19,20.94
2014-05-20,20.79
2014-05-21,20.81
2014-05-22,20.83
2014-05-23,21.04
2014-05-26,21.61
2014-05-27,21.43
2014-05-28,21.36
2014-05-29,20.98
2014-05-30,20.76
2014-06-02,20.78
2014-06-03,21.11
2014-06-04,20.81
2014-06-05,20.85
2014-06-06,21.06
2014-06-09,21.00
2014-06-10,20.60
2014-06-11,20.93
2014-06-12,20.98
2014-06-13,21.94
2014-06-16,21.26
2014-06-17,21.10
2014-06-18,20.95
2014-06-19,21.42
2014-06-20,21.02
2014-06-23,20.95
2014-06-24,21.07
2014-06-25,20.92
2014-06-26,20.85
2014-06-27,20.76
2014-06-30,20.98
2014-07-01,21.47
2014-07-02,21.29
2014-07-03,21.27
2014-07-04,21.80
2014-07-07,21.13
2014-07-08,21.18
2014-07-09,21.24
2014-07-10,21.31
2014-07-11,21.36
2014-07-14,21.40
2014-07-15,21.38
2014-07-16,21.38
2014-07-17,21.47
2014-07-18,21.55
2014-07-21,21.45
2014-07-22,21.90
2014-07-23,21.54
2014-07-24,21.69
2014-07-25,22.33
2014-07-28,21.07
2014-07-30,22.07
2014-07-31,21.64
2014-08-01,21.53
2014-08-04,21.74
2014-08-05,21.80
2014-08-06,21.83
2014-08-07,21.23
2014-08-08,21.77
2014-08-11,21.48
2014-08-12,21.40
2014-08-13,21.67
2014-08-14,21.09
2014-08-19,20.95
2014-08-20,21.02
2014-08-21,21.47
2014-08-22,21.48
2014-08-25,21.96
2014-08-26,21.88
2014-08-27,21.81
2014-08-28,22.73
2014-08-29,19.07
2014-09-01,21.67
2014-09-02,21.89
2014-09-03,22.27
2014-09-04,22.20
2014-09-05,22.02
2014-09-08,21.64
2014-09-09,22.16
2014-09-10,22.02
2014-09-11,21.90
2014-09-12,22.57
2014-09-15,21.53
2014-09-16,21.22
2014-09-17,22.24
2014-09-18,22.13
2014-09-19,21.82
2014-09-22,21.83
2014-09-23,22.71
2014-09-24,21.67
2014-09-25,24.30
2014-09-26,22.57
2014-09-29,21.92
2014-09-30,21.98
2014-10-07,22.28
2014-10-08,24.27
2014-10-09,21.95
2014-10-10,21.96
2014-10-13,22.12
2014-10-14,21.96
2014-10-15,22.00
2014-10-16,22.08
2014-10-17,21.82
2014-10-20,21.94
2014-10-21,22.16
2014-10-22,20.07
2014-10-24,24.75
2014-10-27,22.04
2014-10-28,22.27
2014-10-29,22.46
2014-10-31,21.90
2014-11-03,21.28
2014-11-05,22.18
2014-11-07,22.09
2014-11-10,22.30
2014-11-11,22.45
2014-11-12,22.16
2014-11-13,22.00
2014-11-14,21.96
2014-11-17,21.90
2014-11-18,22.18
2014-11-19,22.14
2014-11-20,22.17
2014-11-21,21.85
2014-11-24,22.77
2014-11-25,22.10
2014-11-26,22.12
2014-11-27,22.55
2014-11-28,22.06
2014-12-01,21.17
2014-12-02,22.00
2014-12-03,21.73
2014-12-04,21.98
2014-12-05,22.14
2014-12-08,21.93
2014-12-09,21.79
2014-12-10,21.96
2014-12-11,22.04
2014-12-12,21.73
2014-12-15,21.74
2014-12-16,21.84
2014-12-17,21.78
2014-12-18,21.65
2014-12-19,21.67
2014-12-22,21.82
2014-12-23,22.56
2014-12-24,22.08
2014-12-26,22.54
2014-12-29,21.92
2014-12-30,21.85
2014-12-31,21.82
2015-01-01,20.42
2015-01-02,20.94
2015-01-05,22.58
2015-01-06,21.96
2015-01-07,22.04
2015-01-08,21.85
2015-01-09,21.85
2015-01-12,21.50
2015-01-13,22.00
2015-01-14,21.93
2015-01-15,20.05
2015-01-16,21.02
2015-01-19,22.33
2015-01-20,22.65
2015-01-21,22.80
2015-01-22,22.75
2015-01-23,23.06
2015-01-27,22.65
2015-01-28,22.53
2015-01-30,22.91
2015-02-02,22.98
2015-02-03,24.23
2015-02-04,23.16
2015-02-05,22.65
2015-02-06,22.91
2015-02-09,23.06
2015-02-10,22.70
2015-02-11,22.62
2015-02-12,22.68
2015-02-13,22.53
2015-02-16,23.02
2015-02-17,28.53
2015-02-18,22.84
2015-02-19,22.47
2015-02-20,22.35
2015-02-23,22.89
2015-02-24,22.47
2015-02-25,22.56
2015-02-26,22.65
2015-02-27,23.00
2015-03-02,22.52
2015-03-03,22.85
2015-03-04,22.77
2015-03-05,23.48
2015-03-09,22.61
2015-03-10,22.73
2015-03-11,22.59
2015-03-12,22.72
2015-03-13,22.80
2015-03-16,22.87
2015-03-17,22.86
2015-03-18,22.51
2015-03-19,22.50
2015-03-20,22.57
2015-03-23,23.00
2015-03-24,22.83
2015-03-25,22.47
2015-03-26,22.53
2015-03-27,22.70
2015-03-30,22.84
2015-03-31,22.74
2015-04-01,22.65
2015-04-06,22.33
2015-04-07,22.50
2015-04-08,22.46
2015-04-09,22.52
2015-04-10,22.52
2015-04-13,22.35
2015-04-15,22.13
2015-04-16,22.61
2015-04-17,22.81
2015-04-20,23.41
2015-04-21,22.65
2015-04-22,22.61
2015-04-23,23.23
2015-04-24,22.48
2015-04-27,22.87
2015-04-28,22.67
2015-04-29,22.66
2015-04-30,22.33
2015-05-01,20.82
2015-05-05,22.06
2015-05-06,22.15
2015-05-07,22.24
2015-05-08,22.51
2015-05-11,22.46
2015-05-12,22.35
2015-05-13,22.03
2015-05-14,22.35
2015-05-15,22.35
2015-05-18,22.89
2015-05-19,22.43
2015-05-20,22.74
2015-05-21,22.27
2015-05-22,22.30
2015-05-25,22.43
2015-05-26,22.35
2015-05-27,22.64
2015-05-28,22.36
2015-05-29,22.32
2015-06-01,22.84
2015-06-02,23.50
2015-06-03,23.26
2015-06-04,22.30
2015-06-05,22.50
2015-06-08,22.66
2015-06-09,22.64
2015-06-10,22.52
2015-06-11,22.40
2015-06-12,22.33
2015-06-15,22.62
2015-06-16,22.32
2015-06-17,22.35
2015-06-18,22.41
2015-06-19,22.51
2015-06-22,22.62
2015-06-23,22.55
2015-06-24,22.53
2015-06-25,22.44
2015-06-26,22.52
2015-06-29,22.44
2015-06-30,22.42
2015-07-01,22.59
2015-07-02,22.31
2015-07-03,22.79
2015-07-06,22.61
2015-07-07,22.82
2015-07-08,22.55
2015-07-09,22.60
2015-07-10,22.38
2015-07-13,22.75
2015-07-14,22.83
2015-07-15,23.00
2015-07-16,22.73
2015-07-17,23.35
2015-07-20,22.84
2015-07-21,22.72
2015-07-22,22.42
2015-07-23,22.38
2015-07-24,22.88
2015-07-27,22.44
2015-07-28,22.59
2015-07-29,22.63
2015-07-30,21.76
2015-07-31,22.80
2015-08-03,22.52
2015-08-04,22.38
2015-08-05,22.58
2015-08-06,22.54
2015-08-07,22.60
2015-08-10,22.33
2015-08-11,22.93
2015-08-12,22.49
2015-08-13,22.56
2015-08-14,21.54
2015-08-17,22.79
2015-08-18,22.04
2015-08-19,22.21
2015-08-20,22.76
2015-08-21,22.42
2015-08-24,22.89
2015-08-25,22.70
2015-08-26,22.55
2015-08-27,22.57
2015-08-28,22.14
2015-08-31,22.87
2015-09-01,22.85
2015-09-02,22.87
2015-09-03,22.78
2015-09-04,22.68
2015-09-07,22.74
2015-09-08,22.25
2015-09-09,22.64
2015-09-10,22.37
2015-09-11,22.47
2015-09-14,22.86
2015-09-15,22.41
2015-09-16,22.46
2015-09-17,21.10
2015-09-18,22.93
2015-09-21,22.95
2015-09-22,23.08
2015-09-23,23.38
2015-09-24,22.11
2015-09-28,23.07
2015-09-29,22.97
2015-09-30,22.87
2015-10-01,22.87
2015-10-05,22.80
2015-10-06,22.74
2015-10-07,23.10
2015-10-08,22.80
2015-10-09,22.79
2015-10-12,22.47
2015-10-13,24.45
2015-10-14,23.10
2015-10-15,22.85
2015-10-16,23.15
2015-10-19,23.18
2015-10-20,23.43
2015-10-21,23.39
2015-10-23,21.69
2015-10-26,23.00
2015-10-27,24.78
2015-10-28,23.28
2015-10-29,23.50
2015-10-30,24.02
2015-10-31,23.07
2015-11-01,23.62
2015-11-02,22.21
2015-11-03,23.47
2015-11-04,23.25
2015-11-05,23.27
2015-11-06,23.36
2015-11-07,25.17
2015-11-08,24.85
2015-11-09,23.16
2015-11-10,21.15
2015-11-11,27.86
2015-11-12,25.26
2015-11-13,25.32
2015-11-14,24.23
2015-11-15,24.69
2015-11-16,23.22
2015-11-17,23.79
2015-11-18,23.49
2015-11-19,22.92
2015-11-20,23.06
2015-11-21,24.44
2015-11-22,23.17
2015-11-23,22.56
2015-11-24,22.73
2015-11-25,25.90
2015-11-26,23.05
2015-11-27,23.06
2015-11-28,23.85
2015-11-29,23.11
2015-11-30,22.58
2015-12-01,23.10
2015-12-02,23.35
2015-12-03,23.53
2015-12-04,23.37
2015-12-05,24.48
2015-12-06,24.00
2015-12-07,23.89
2015-12-08,23.46
2015-12-09,23.43
2015-12-10,23.32
2015-12-11,23.42
2015-12-12,23.38
2015-12-13,23.38
2015-12-14,23.08
2015-12-15,22.99
2015-12-16,24.08
2015-12-17,23.19
2015-12-18,23.00
2015-12-19,24.89
2015-12-20,23.68
2015-12-21,23.17
2015-12-22,23.12
2015-12-23,23.39
2015-12-24,24.00
2015-12-25,25.13
2015-12-26,24.70
2015-12-27,23.56
2015-12-28,22.93
2015-12-29,22.53
2015-12-30,22.94
2015-12-31,22.94
2016-01-01,22.74
2016-01-02,23.78
2016-01-03,23.21
2016-01-04,23.17
2016-01-05,22.88
2016-01-06,23.12
2016-01-07,23.37
2016-01-08,22.75
2016-01-09,22.91
2016-01-10,23.68
2016-01-11,23.03
2016-01-12,23.11
2016-01-13,23.07
2016-01-14,23.15
2016-01-15,22.43
2016-01-16,24.71
2016-01-17,24.24
2016-01-18,23.34
2016-01-19,23.36
2016-01-20,23.26
2016-01-21,23.23
2016-01-22,23.29
2016-01-23,24.24
2016-01-24,24.92
2016-01-25,23.67
2016-01-26,23.48
2016-01-27,23.40
2016-01-28,23.33
2016-01-29,23.05
2016-01-30,25.18
2016-01-31,24.66
2016-02-01,24.16
2016-02-02,23.35
2016-02-03,23.42
2016-02-04,23.49
2016-02-05,23.57
2016-02-06,25.20
2016-02-07,26.47
2016-02-08,23.41
2016-02-09,23.47
2016-02-10,23.29
2016-02-11,23.52
2016-02-12,23.93
2016-02-13,24.76
2016-02-14,24.87
2016-02-15,23.81
2016-02-16,23.41
2016-02-17,23.38
2016-02-18,23.55
2016-02-19,23.50
2016-02-20,26.02
2016-02-21,24.83
2016-02-22,24.55
2016-02-23,23.61
2016-02-24,23.60
2016-02-25,23.55
2016-02-26,23.45
2016-02-27,23.33
2016-02-28,24.89
2016-02-29,23.62
2016-03-01,23.55
2016-03-02,23.58
2016-03-03,23.43
