date,value
2014-01-01,40.26
2014-01-02,40.26
2014-01-03,40.51
2014-01-06,40.24
2014-01-07,43.21
2014-01-08,40.80
2014-01-09,40.64
2014-01-10,40.40
2014-01-13,39.89
2014-01-15,40.14
2014-01-16,40.03
2014-01-17,39.90
2014-01-20,40.63
2014-01-21,39.74
2014-01-22,41.13
2014-01-23,40.16
2014-01-24,39.28
2014-01-27,39.79
2014-01-28,39.82
2014-01-30,39.71
2014-01-31,39.35
2014-02-03,39.02
2014-02-04,40.67
2014-02-05,39.26
2014-02-06,39.29
2014-02-07,39.33
2014-02-10,39.36
2014-02-11,39.62
2014-02-12,39.10
2014-02-13,39.47
2014-02-14,40.62
2014-02-17,39.33
2014-02-18,39.76
2014-02-19,39.31
2014-02-20,39.64
2014-02-21,39.40
2014-02-24,39.84
2014-02-25,39.76
2014-02-26,39.52
2014-02-27,42.90
2014-02-28,39.53
2014-03-03,39.64
2014-03-04,40.21
2014-03-05,39.45
2014-03-06,38.51
2014-03-07,38.98
2014-03-10,39.14
2014-03-11,39.00
2014-03-12,39.04
2014-03-13,39.17
2014-03-14,39.26
2014-03-18,39.68
2014-03-19,39.10
2014-03-20,39.20
2014-03-21,39.34
2014-03-24,39.54
2014-03-25,38.90
2014-03-26,38.50
2014-03-27,38.84
2014-03-28,38.74
2014-03-31,37.96
2014-04-01,40.26
2014-04-02,38.10
2014-04-03,38.89
2014-04-04,39.10
2014-04-07,39.84
2014-04-09,38.52
2014-04-11,38.38
2014-04-15,39.25
2014-04-16,38.46
2014-04-17,39.94
2014-04-21,39.26
2014-04-22,39.44
2014-04-23,39.76
2014-04-24,39.18
2014-04-25,39.52
2014-04-28,39.43
2014-04-29,39.45
2014-04-30,39.07
2014-05-01,37.44
2014-05-02,39.29
2014-05-05,39.12
2014-05-06,39.66
2014-05-07,39.38
2014-05-08,39.14
2014-05-09,39.63
2014-05-12,39.46
2014-05-13,39.87
2014-05-15,39.55
2014-05-16,40.21
2014-05-19,39.89
2014-05-20,39.65
2014-05-21,39.94
2014-05-22,39.84
2014-05-23,40.04
2014-05-26,40.61
2014-05-27,40.29
2014-05-28,40.13
2014-05-29,40.07
2014-05-30,39.83
2014-06-02,39.93
2014-06-03,40.30
2014-06-04,40.61
2014-06-05,40.39
2014-06-06,40.77
2014-06-09,40.60
2014-06-10,40.27
2014-06-11,40.30
2014-06-12,40.29
2014-06-13,41.29
2014-06-16,40.31
2014-06-17,40.61
2014-06-18,40.84
2014-06-19,41.05
2014-06-20,41.28
2014-06-23,41.56
2014-06-24,40.80
2014-06-25,40.75
2014-06-26,40.75
2014-06-27,40.37
2014-06-30,40.20
2014-07-01,40.98
2014-07-02,40.88
2014-07-03,40.78
2014-07-04,40.98
2014-07-07,40.78
2014-07-08,40.84
2014-07-09,40.91
2014-07-10,40.92
2014-07-11,40.70
2014-07-14,41.02
2014-07-15,41.10
2014-07-16,40.73
2014-07-17,41.06
2014-07-18,41.10
2014-07-21,40.45
2014-07-22,41.42
2014-07-23,41.14
2014-07-24,41.52
2014-07-25,41.30
2014-07-28,40.37
2014-07-30,41.47
2014-07-31,40.92
2014-08-01,40.88
2014-08-04,41.40
2014-08-05,41.57
2014-08-06,41.52
2014-08-07,41.51
2014-08-08,41.54
2014-08-11,41.00
2014-08-12,41.10
2014-08-13,41.17
2014-08-14,40.62
2014-08-19,40.70
2014-08-20,40.88
2014-08-21,41.38
2014-08-22,41.49
2014-08-25,41.51
2014-08-26,41.49
2014-08-27,41.50
2014-08-28,41.96
