date,value
2014-01-01,36.56
2014-01-02,35.02
2014-01-03,35.08
2014-01-06,35.22
2014-01-07,35.39
2014-01-08,35.98
2014-01-09,35.63
2014-01-10,35.35
2014-01-13,35.02
2014-01-15,35.68
2014-01-16,35.17
2014-01-17,34.57
2014-01-20,35.05
2014-01-21,34.86
2014-01-22,36.21
2014-01-23,35.36
2014-01-24,34.78
2014-01-27,35.31
2014-01-28,35.42
2014-01-30,35.16
2014-01-31,34.45
2014-02-03,35.27
2014-02-04,35.52
2014-02-05,35.04
2014-02-06,34.77
2014-02-07,35.02
2014-02-10,35.02
2014-02-11,35.14
2014-02-12,34.73
2014-02-13,34.74
2014-02-14,34.57
2014-02-17,35.13
2014-02-18,35.63
2014-02-19,35.53
2014-02-20,35.66
2014-02-21,35.66
2014-02-24,35.24
2014-02-25,35.20
2014-02-26,35.44
2014-02-27,36.09
2014-02-28,35.54
2014-03-03,35.58
2014-03-04,34.80
2014-03-05,36.50
2014-03-06,35.35
2014-03-07,35.45
2014-03-10,36.09
2014-03-11,35.34
2014-03-12,35.76
2014-03-13,34.80
2014-03-14,35.84
2014-03-18,35.14
2014-03-19,35.77
2014-03-20,35.74
2014-03-21,35.54
2014-03-24,36.18
2014-03-25,36.04
2014-03-26,35.77
2014-03-27,35.85
2014-03-28,35.62
2014-03-31,34.53
2014-04-01,35.51
2014-04-02,35.42
2014-04-03,36.29
2014-04-04,36.18
2014-04-07,36.95
2014-04-09,36.07
2014-04-11,36.07
2014-04-15,36.97
2014-04-16,37.20
2014-04-17,38.43
2014-04-21,36.54
2014-04-22,36.48
2014-04-23,36.16
2014-04-24,36.81
2014-04-25,36.45
2014-04-28,36.18
2014-04-29,36.31
2014-04-30,33.75
2014-05-01,35.53
2014-05-02,35.82
2014-05-05,36.51
2014-05-06,36.37
2014-05-07,37.11
2014-05-08,36.68
2014-05-09,37.27
2014-05-12,36.71
2014-05-13,36.17
2014-05-15,36.71
2014-05-16,36.70
2014-05-19,36.96
2014-05-20,36.67
2014-05-21,36.65
2014-05-22,36.44
2014-05-23,36.52
2014-05-26,35.19
2014-05-27,35.44
2014-05-28,36.06
2014-05-29,36.60
2014-05-30,36.35
2014-06-02,36.35
2014-06-03,36.38
2014-06-04,36.46
2014-06-05,36.42
2014-06-06,36.70
2014-06-09,36.77
2014-06-10,36.45
2014-06-11,36.57
2014-06-12,36.63
2014-06-13,35.79
2014-06-16,36.28
2014-06-17,36.60
2014-06-18,36.38
2014-06-19,37.58
2014-06-20,37.48
2014-06-23,37.52
2014-06-24,36.63
2014-06-25,37.22
2014-06-26,36.94
2014-06-27,36.92
2014-06-30,36.72
2014-07-01,37.62
2014-07-02,37.44
2014-07-03,37.42
2014-07-04,36.98
2014-07-07,37.28
2014-07-08,37.13
2014-07-09,36.84
2014-07-10,37.11
2014-07-11,37.02
2014-07-14,36.30
2014-07-15,37.28
2014-07-16,37.02
2014-07-17,37.38
2014-07-18,37.27
2014-07-21,36.50
2014-07-22,36.88
2014-07-23,37.70
2014-07-24,37.65
2014-07-25,37.21
2014-07-28,37.72
2014-07-30,37.39
2014-07-31,37.49
2014-08-01,37.58
2014-08-04,38.00
2014-08-05,37.88
2014-08-06,38.02
2014-08-07,37.81
2014-08-08,38.09
2014-08-11,37.58
2014-08-12,37.58
2014-08-13,37.98
2014-08-14,37.74
2014-08-19,37.51
2014-08-20,37.35
2014-08-21,37.27
2014-08-22,37.55
2014-08-25,37.29
2014-08-26,37.82
2014-08-27,37.02
2014-08-28,36.98
