date,value
2014-01-01,34.68
2014-01-02,34.65
2014-01-03,34.67
2014-01-06,35.17
2014-01-07,35.00
2014-01-08,35.20
2014-01-09,34.96
2014-01-10,34.81
2014-01-13,34.74
2014-01-15,35.32
2014-01-16,35.18
2014-01-17,34.53
2014-01-20,34.70
2014-01-21,34.48
2014-01-22,34.75
2014-01-23,34.48
2014-01-24,34.50
2014-01-27,34.61
2014-01-28,34.67
2014-01-30,34.67
2014-01-31,34.31
2014-02-03,34.35
2014-02-04,34.56
2014-02-05,34.24
2014-02-06,34.28
2014-02-07,33.90
2014-02-10,34.10
2014-02-11,34.14
2014-02-12,34.32
2014-02-13,34.13
2014-02-14,34.35
2014-02-17,34.35
2014-02-18,34.33
2014-02-19,34.42
2014-02-20,34.18
2014-02-21,34.33
2014-02-24,34.47
2014-02-25,34.31
2014-02-26,34.30
2014-02-27,34.93
2014-02-28,34.16
2014-03-03,34.38
2014-03-04,34.24
2014-03-05,34.58
2014-03-06,34.08
2014-03-07,34.04
2014-03-10,34.51
2014-03-11,34.40
2014-03-12,34.19
2014-03-13,34.48
2014-03-14,34.69
2014-03-18,34.88
2014-03-19,34.82
2014-03-20,34.96
2014-03-21,34.68
2014-03-24,35.02
2014-03-25,34.88
2014-03-26,34.98
2014-03-27,35.12
2014-03-28,34.91
2014-03-31,34.41
2014-04-01,34.82
2014-04-02,34.96
2014-04-03,35.25
2014-04-04,35.06
2014-04-07,35.20
2014-04-09,35.53
2014-04-11,35.70
2014-04-15,36.17
2014-04-16,36.24
2014-04-17,36.50
2014-04-21,35.82
2014-04-22,35.86
2014-04-23,36.06
2014-04-24,36.37
2014-04-25,36.28
2014-04-28,36.19
2014-04-29,36.13
2014-04-30,36.09
2014-05-01,36.83
2014-05-02,36.38
2014-05-05,36.12
2014-05-06,35.74
2014-05-07,36.21
2014-05-08,36.47
2014-05-09,36.15
2014-05-12,36.26
2014-05-13,36.11
2014-05-15,36.19
2014-05-16,36.35
2014-05-19,36.43
2014-05-20,36.27
2014-05-21,36.38
2014-05-22,36.28
2014-05-23,36.27
2014-05-26,36.06
2014-05-27,36.02
2014-05-28,35.91
2014-05-29,36.09
2014-05-30,36.00
2014-06-02,36.17
2014-06-03,36.13
2014-06-04,36.02
2014-06-05,36.00
2014-06-06,36.07
2014-06-09,36.11
2014-06-10,36.11
2014-06-11,36.04
2014-06-12,35.94
2014-06-13,36.17
2014-06-16,35.83
2014-06-17,36.08
2014-06-18,35.76
2014-06-19,36.19
2014-06-20,36.33
2014-06-23,36.40
2014-06-24,36.00
2014-06-25,36.39
2014-06-26,36.31
2014-06-27,36.30
2014-06-30,36.20
2014-07-01,36.62
2014-07-02,36.45
2014-07-03,36.67
2014-07-04,36.52
2014-07-07,36.68
2014-07-08,36.70
2014-07-09,36.80
2014-07-10,36.71
2014-07-11,36.65
2014-07-14,36.80
2014-07-15,36.59
2014-07-16,36.26
2014-07-17,36.22
2014-07-18,36.65
2014-07-21,36.06
2014-07-22,36.37
2014-07-23,36.29
2014-07-24,36.27
2014-07-25,36.08
2014-07-28,36.25
2014-07-30,36.16
2014-07-31,36.44
2014-08-01,36.34
2014-08-04,36.57
2014-08-05,36.50
2014-08-06,36.70
2014-08-07,36.54
2014-08-08,36.58
2014-08-11,36.16
2014-08-12,36.43
2014-08-13,36.29
2014-08-14,36.41
2014-08-19,36.39
2014-08-20,35.96
2014-08-21,36.40
2014-08-22,36.43
2014-08-25,36.13
2014-08-26,36.35
2014-08-27,35.83
2014-08-28,36.33
2014-08-29,36.97
2014-09-01,36.34
2014-09-02,36.15
2014-09-03,36.39
2014-09-04,36.25
2014-09-05,36.11
2014-09-08,35.89
2014-09-09,36.04
2014-09-10,36.13
2014-09-11,36.24
2014-09-12,36.13
2014-09-15,36.17
2014-09-16,36.17
2014-09-17,36.15
2014-09-18,36.19
2014-09-19,36.02
2014-09-22,36.00
2014-09-23,36.09
2014-09-24,36.09
2014-09-25,36.15
2014-09-26,36.06
2014-09-29,36.21
2014-09-30,36.05
2014-10-07,35.42
2014-10-08,35.88
2014-10-09,35.74
2014-10-10,35.95
2014-10-13,35.95
2014-10-14,35.90
2014-10-15,35.88
2014-10-16,35.79
2014-10-17,35.83
2014-10-20,36.02
2014-10-21,35.98
2014-10-22,36.37
2014-10-24,36.13
2014-10-27,35.90
