date,value
2014-01-01,200.46
2014-01-02,205.67
2014-01-03,203.47
2014-01-06,206.77
2014-01-07,200.77
2014-01-08,210.35
2014-01-09,205.44
2014-01-10,203.17
2014-01-13,202.91
2014-01-15,197.63
2014-01-16,201.02
2014-01-17,199.08
2014-01-20,203.00
2014-01-21,198.93
2014-01-22,204.49
2014-01-23,217.07
2014-01-24,205.39
2014-01-27,204.48
2014-01-28,205.98
2014-01-30,203.42
2014-01-31,204.09
2014-02-03,204.90
2014-02-04,212.67
2014-02-05,208.15
2014-02-06,202.19
2014-02-07,199.61
2014-02-10,202.02
2014-02-11,200.72
2014-02-12,204.02
2014-02-13,199.57
2014-02-14,203.49
2014-02-17,200.25
2014-02-18,204.70
2014-02-19,203.77
2014-02-20,201.15
2014-02-21,200.80
2014-02-24,204.09
2014-02-25,205.00
2014-02-26,203.82
2014-02-27,204.07
2014-02-28,199.21
2014-03-03,203.62
2014-03-04,201.86
2014-03-05,206.57
2014-03-06,200.24
2014-03-07,199.75
2014-03-10,199.23
2014-03-11,202.76
2014-03-12,201.96
2014-03-13,200.91
2014-03-14,206.00
2014-03-18,198.31
2014-03-19,199.28
2014-03-20,201.45
2014-03-21,198.84
2014-03-24,200.98
2014-03-25,199.35
2014-03-26,200.71
2014-03-27,201.06
2014-03-28,202.43
2014-03-31,188.63
2014-04-01,206.11
2014-04-02,202.30
2014-04-03,203.94
2014-04-04,208.82
2014-04-07,210.32
2014-04-09,203.43
2014-04-11,206.07
2014-04-15,221.72
2014-04-16,211.52
2014-04-17,221.72
2014-04-21,203.29
2014-04-22,205.02
2014-04-23,208.50
2014-04-24,206.24
2014-04-25,205.49
2014-04-28,210.02
2014-04-29,203.53
2014-04-30,200.06
2014-05-01,205.28
2014-05-02,205.88
2014-05-05,205.11
2014-05-06,199.65
2014-05-07,206.80
2014-05-08,204.18
2014-05-09,211.13
2014-05-12,203.51
2014-05-13,201.24
2014-05-15,203.53
2014-05-16,208.24
2014-05-19,203.52
2014-05-20,202.04
2014-05-21,202.78
2014-05-22,202.83
2014-05-23,204.00
2014-05-26,201.89
2014-05-27,200.79
2014-05-28,201.22
2014-05-29,205.04
2014-05-30,205.74
2014-06-02,206.20
2014-06-03,207.31
2014-06-04,207.32
2014-06-05,206.33
2014-06-06,205.15
2014-06-09,204.43
2014-06-10,203.19
2014-06-11,207.93
2014-06-12,205.84
2014-06-13,209.85
2014-06-16,203.48
2014-06-17,207.37
2014-06-18,204.73
2014-06-19,206.63
2014-06-20,205.14
2014-06-23,205.35
2014-06-24,206.42
2014-06-25,207.09
2014-06-26,205.11
2014-06-27,206.02
2014-06-30,199.48
2014-07-01,209.18
2014-07-02,204.70
2014-07-03,207.07
2014-07-04,201.76
2014-07-07,206.16
2014-07-08,206.38
2014-07-09,207.62
2014-07-10,207.66
2014-07-11,206.40
2014-07-14,201.63
2014-07-15,207.55
2014-07-16,202.37
2014-07-17,200.19
2014-07-18,205.00
2014-07-21,200.46
2014-07-22,202.81
2014-07-23,200.76
2014-07-24,203.78
2014-07-25,198.56
2014-07-28,203.38
2014-07-30,203.18
2014-07-31,204.13
2014-08-01,203.22
2014-08-04,200.88
2014-08-05,200.51
2014-08-06,203.35
2014-08-07,202.75
2014-08-08,203.25
2014-08-11,201.76
2014-08-12,201.90
2014-08-13,200.13
2014-08-14,203.90
2014-08-19,205.43
2014-08-20,200.06
2014-08-21,210.65
2014-08-22,208.48
2014-08-25,211.47
2014-08-26,213.40
2014-08-27,213.38
2014-08-28,210.84
2014-08-29,197.57
2014-09-01,210.65
2014-09-02,212.36
2014-09-03,214.35
2014-09-04,212.56
2014-09-05,209.51
2014-09-08,214.38
2014-09-09,212.47
2014-09-10,209.56
2014-09-11,212.34
2014-09-12,207.47
2014-09-15,213.65
2014-09-16,209.38
2014-09-17,210.80
2014-09-18,213.00
2014-09-19,211.54
2014-09-22,214.14
2014-09-23,220.59
2014-09-24,210.21
2014-09-25,215.16
2014-09-26,214.18
2014-09-29,212.35
2014-09-30,212.34
2014-10-07,221.88
2014-10-08,217.69
2014-10-09,212.80
2014-10-10,210.41
2014-10-13,211.60
2014-10-14,212.68
2014-10-15,212.15
2014-10-16,211.69
2014-10-17,212.33
2014-10-20,213.24
2014-10-21,208.67
2014-10-22,199.22
2014-10-24,211.82
2014-10-27,211.04
2014-10-28,209.83
2014-10-29,207.76
2014-10-31,209.98
2014-11-03,212.43
2014-11-05,211.09
2014-11-07,201.92
2014-11-10,202.94
2014-11-11,205.17
2014-11-12,206.38
2014-11-13,208.77
2014-11-14,205.54
2014-11-17,202.73
2014-11-18,202.84
2014-11-19,201.51
2014-11-20,206.25
2014-11-21,202.97
2014-11-24,202.08
2014-11-25,206.67
2014-11-26,204.51
2014-11-27,205.38
2014-11-28,202.35
2014-12-01,207.29
2014-12-02,206.31
2014-12-03,208.25
2014-12-04,205.11
2014-12-05,203.40
2014-12-08,201.37
2014-12-09,203.71
2014-12-10,204.88
2014-12-11,206.37
2014-12-12,203.82
2014-12-15,205.86
2014-12-16,204.42
