date,value
2014-01-01,49.89
2014-01-02,50.18
2014-01-03,50.29
2014-01-06,50.13
2014-01-07,50.67
2014-01-08,50.32
2014-01-09,50.08
2014-01-10,49.70
2014-01-13,49.36
2014-01-15,49.20
2014-01-16,49.40
2014-01-17,49.02
2014-01-20,49.96
2014-01-21,49.07
2014-01-22,49.21
2014-01-23,50.49
2014-01-24,49.02
2014-01-27,48.76
2014-01-28,49.00
2014-01-30,49.13
2014-01-31,48.64
2014-02-03,47.96
2014-02-04,49.51
2014-02-05,48.17
2014-02-06,48.50
2014-02-07,47.33
2014-02-10,47.24
2014-02-11,48.00
2014-02-12,47.94
2014-02-13,47.98
2014-02-14,48.28
2014-02-17,48.12
2014-02-18,48.53
2014-02-19,48.27
2014-02-20,48.36
2014-02-21,48.35
2014-02-24,48.86
2014-02-25,48.06
2014-02-26,48.25
2014-02-27,51.14
2014-02-28,47.89
2014-03-03,48.67
2014-03-04,49.27
2014-03-05,48.92
2014-03-06,48.24
2014-03-07,48.23
2014-03-10,48.78
2014-03-11,48.30
2014-03-12,48.33
2014-03-13,48.80
2014-03-14,49.15
2014-03-18,49.66
2014-03-19,48.85
2014-03-20,49.00
2014-03-21,48.60
2014-03-24,49.32
2014-03-25,48.77
2014-03-26,49.04
2014-03-27,49.20
2014-03-28,49.11
2014-03-31,47.13
2014-04-01,50.08
2014-04-02,48.60
2014-04-03,49.59
2014-04-04,48.52
2014-04-07,48.89
2014-04-09,48.19
2014-04-11,48.27
2014-04-15,47.89
2014-04-16,48.35
2014-04-17,48.81
2014-04-21,48.57
2014-04-22,48.52
2014-04-23,49.09
2014-04-24,48.69
2014-04-25,48.75
2014-04-28,49.21
2014-04-29,48.34
2014-04-30,48.15
2014-05-01,48.35
2014-05-02,49.12
2014-05-05,47.96
2014-05-06,48.21
2014-05-07,48.98
2014-05-08,48.78
2014-05-09,48.50
2014-05-12,49.31
2014-05-13,48.11
2014-05-15,48.00
2014-05-16,48.87
2014-05-19,48.91
2014-05-20,48.85
2014-05-21,48.85
2014-05-22,48.91
2014-05-23,48.78
2014-05-26,49.20
2014-05-27,48.34
2014-05-28,47.96
2014-05-29,48.48
2014-05-30,47.83
2014-06-02,47.87
2014-06-03,47.96
2014-06-04,48.60
2014-06-05,48.33
2014-06-06,47.63
2014-06-09,47.52
2014-06-10,47.71
2014-06-11,47.91
2014-06-12,47.50
2014-06-13,47.75
2014-06-16,48.15
2014-06-17,46.98
2014-06-18,46.64
2014-06-19,47.55
2014-06-20,47.46
2014-06-23,47.06
2014-06-24,46.98
2014-06-25,46.75
2014-06-26,46.33
2014-06-27,46.50
2014-06-30,46.50
2014-07-01,46.94
2014-07-02,46.31
2014-07-03,46.71
2014-07-04,46.49
2014-07-07,46.38
2014-07-08,46.40
2014-07-09,46.12
2014-07-10,46.73
2014-07-11,46.87
2014-07-14,46.49
2014-07-15,46.68
2014-07-16,45.94
2014-07-17,46.22
2014-07-18,46.19
2014-07-21,46.19
2014-07-22,46.76
2014-07-23,46.40
2014-07-24,46.60
2014-07-25,46.18
2014-07-28,44.78
2014-07-30,45.96
2014-07-31,46.39
2014-08-01,46.21
2014-08-04,45.89
2014-08-05,45.85
2014-08-06,46.23
