date,value
2014-01-01,75.91
2014-01-02,77.38
2014-01-03,77.66
2014-01-06,78.04
2014-01-07,77.80
2014-01-08,78.28
2014-01-09,78.00
2014-01-10,78.30
2014-01-13,78.02
2014-01-15,77.51
2014-01-16,78.19
2014-01-17,78.64
2014-01-20,79.55
2014-01-21,79.43
2014-01-22,79.70
2014-01-23,79.58
2014-01-24,79.25
2014-01-27,80.06
2014-01-28,80.35
2014-01-30,80.52
2014-01-31,80.72
2014-02-03,80.54
2014-02-04,79.80
2014-02-05,80.79
2014-02-06,80.80
2014-02-07,82.09
2014-02-10,82.02
2014-02-11,82.26
2014-02-12,81.83
2014-02-13,82.10
2014-02-14,82.57
2014-02-17,82.50
2014-02-18,82.70
2014-02-19,82.35
2014-02-20,82.58
2014-02-21,82.63
2014-02-24,82.90
2014-02-25,83.67
2014-02-26,83.68
2014-02-27,87.14
2014-02-28,82.80
2014-03-03,83.70
2014-03-04,83.14
2014-03-05,83.83
2014-03-06,83.69
2014-03-07,83.48
2014-03-10,84.21
2014-03-11,85.15
2014-03-12,84.79
2014-03-13,85.21
2014-03-14,85.50
2014-03-18,86.55
2014-03-19,85.49
2014-03-20,86.70
2014-03-21,85.38
2014-03-24,85.22
2014-03-25,85.06
2014-03-26,85.86
2014-03-27,86.56
2014-03-28,86.92
2014-03-31,86.61
2014-04-01,88.69
2014-04-02,88.45
2014-04-03,87.45
2014-04-04,87.17
2014-04-07,86.92
2014-04-09,87.00
2014-04-11,88.21
2014-04-15,89.94
2014-04-16,87.28
2014-04-17,90.26
2014-04-21,88.38
2014-04-22,88.52
2014-04-23,88.49
2014-04-24,88.65
2014-04-25,89.46
2014-04-28,88.69
2014-04-29,88.25
2014-04-30,87.97
2014-05-01,86.61
2014-05-02,89.15
2014-05-05,87.76
2014-05-06,89.36
2014-05-07,86.80
2014-05-08,88.40
2014-05-09,89.34
2014-05-12,88.49
2014-05-13,89.20
2014-05-15,89.76
2014-05-16,91.70
2014-05-19,89.58
2014-05-20,89.55
2014-05-21,89.08
2014-05-22,89.60
2014-05-23,89.37
2014-05-26,88.67
2014-05-27,88.04
2014-05-28,89.35
2014-05-29,89.12
2014-05-30,89.93
2014-06-02,89.08
2014-06-03,88.80
2014-06-04,89.13
2014-06-05,88.24
2014-06-06,88.49
2014-06-09,88.00
2014-06-10,87.08
2014-06-11,87.24
2014-06-12,86.42
2014-06-13,88.41
2014-06-16,87.07
2014-06-17,87.30
2014-06-18,87.00
2014-06-19,86.04
2014-06-20,87.15
2014-06-23,85.93
2014-06-24,86.12
2014-06-25,85.56
2014-06-26,85.13
2014-06-27,85.60
2014-06-30,85.47
2014-07-01,85.73
2014-07-02,86.04
2014-07-03,85.81
2014-07-04,86.16
2014-07-07,85.56
2014-07-08,85.72
2014-07-09,86.21
2014-07-10,86.33
2014-07-11,86.68
2014-07-14,85.88
2014-07-15,86.91
2014-07-16,86.40
2014-07-17,86.30
2014-07-18,87.43
2014-07-21,86.72
2014-07-22,87.73
2014-07-23,87.60
2014-07-24,88.06
2014-07-25,87.06
2014-07-28,87.64
2014-07-30,88.10
2014-07-31,87.38
2014-08-01,87.43
2014-08-04,88.02
2014-08-05,88.88
2014-08-06,88.63
2014-08-07,88.15
2014-08-08,88.30
2014-08-11,88.30
2014-08-12,87.90
2014-08-13,88.24
2014-08-14,88.43
2014-08-19,87.94
2014-08-20,88.02
2014-08-21,87.75
2014-08-22,88.29
2014-08-25,88.82
2014-08-26,88.82
2014-08-27,88.54
2014-08-28,89.50
2014-08-29,87.19
2014-09-01,88.25
2014-09-02,89.00
2014-09-03,88.76
2014-09-04,89.25
2014-09-05,89.02
2014-09-08,89.14
2014-09-09,89.31
2014-09-10,89.18
2014-09-11,89.03
2014-09-12,89.55
2014-09-15,88.56
2014-09-16,88.42
2014-09-17,89.09
2014-09-18,89.07
2014-09-19,89.23
2014-09-22,88.88
2014-09-23,91.21
2014-09-24,88.62
2014-09-25,90.53
2014-09-26,89.47
2014-09-29,88.75
2014-09-30,88.63
2014-10-07,88.84
2014-10-08,90.34
2014-10-09,88.91
2014-10-10,88.75
2014-10-13,88.75
2014-10-14,88.71
2014-10-15,90.22
2014-10-16,88.79
2014-10-17,89.15
2014-10-20,89.13
2014-10-21,89.56
2014-10-22,87.03
2014-10-24,91.10
2014-10-27,89.28
2014-10-28,90.09
2014-10-29,89.58
2014-10-31,89.70
2014-11-03,89.96
2014-11-05,91.09
2014-11-07,91.23
2014-11-10,92.65
2014-11-11,93.20
2014-11-12,93.70
2014-11-13,93.86
2014-11-14,93.32
2014-11-17,93.12
2014-11-18,94.00
2014-11-19,94.27
2014-11-20,94.77
2014-11-21,94.55
2014-11-24,94.45
2014-11-25,95.17
2014-11-26,95.16
2014-11-27,95.42
2014-11-28,95.38
2014-12-01,95.47
2014-12-02,95.45
2014-12-03,95.75
2014-12-04,96.11
2014-12-05,95.54
2014-12-08,95.53
2014-12-09,95.18
2014-12-10,96.07
2014-12-11,95.67
2014-12-12,95.34
2014-12-15,95.91
2014-12-16,95.30
2014-12-17,95.89
2014-12-18,95.38
2014-12-19,95.73
2014-12-22,96.26
2014-12-23,96.73
2014-12-24,96.53
2014-12-26,98.04
2014-12-29,96.83
2014-12-30,96.69
2014-12-31,97.36
2015-01-01,95.85
2015-01-02,97.28
2015-01-05,97.46
2015-01-06,97.87
2015-01-07,98.18
2015-01-08,97.73
2015-01-09,97.83
2015-01-12,97.87
2015-01-13,98.19
2015-01-14,98.00
2015-01-15,96.87
2015-01-16,98.06
2015-01-19,98.35
2015-01-20,98.68
2015-01-21,98.77
2015-01-22,99.18
2015-01-23,99.16
2015-01-27,98.60
2015-01-28,98.48
2015-01-30,99.20
2015-02-02,99.14
2015-02-03,101.18
2015-02-04,99.91
2015-02-05,99.23
2015-02-06,99.32
2015-02-09,99.18
2015-02-10,99.44
2015-02-11,99.02
2015-02-12,99.23
2015-02-13,98.74
2015-02-16,98.98
2015-02-17,104.00
2015-02-18,99.25
2015-02-19,98.64
2015-02-20,98.41
2015-02-23,98.95
2015-02-24,99.06
2015-02-25,98.92
2015-02-26,99.27
2015-02-27,100.31
2015-03-02,99.18
2015-03-03,99.09
2015-03-04,99.05
2015-03-05,98.80
2015-03-09,98.77
2015-03-10,99.38
2015-03-11,98.86
2015-03-12,98.98
2015-03-13,99.27
2015-03-16,98.98
2015-03-17,99.79
2015-03-18,98.85
2015-03-19,98.69
2015-03-20,99.07
2015-03-23,100.28
2015-03-24,99.44
2015-03-25,99.03
2015-03-26,99.43
2015-03-27,99.65
2015-03-30,99.08
2015-03-31,99.61
2015-04-01,99.92
2015-04-06,99.02
2015-04-07,99.54
2015-04-08,99.69
2015-04-09,100.24
2015-04-10,100.52
2015-04-13,99.61
2015-04-15,99.75
2015-04-16,100.47
2015-04-17,100.28
2015-04-20,100.94
2015-04-21,101.45
2015-04-22,100.45
2015-04-23,102.03
2015-04-24,100.49
2015-04-27,101.27
2015-04-28,101.42
2015-04-29,101.28
2015-04-30,99.75
2015-05-01,99.22
2015-05-05,100.97
2015-05-06,101.39
2015-05-07,101.75
2015-05-08,102.11
2015-05-11,102.37
2015-05-12,102.65
2015-05-13,102.34
2015-05-14,102.71
2015-05-15,102.95
2015-05-18,102.23
2015-05-19,102.76
2015-05-20,103.84
2015-05-21,102.82
2015-05-22,101.83
2015-05-25,102.13
2015-05-26,103.02
2015-05-27,102.21
2015-05-28,102.72
2015-05-29,102.73
2015-06-01,102.10
2015-06-02,103.57
2015-06-03,102.05
2015-06-04,102.04
2015-06-05,101.96
2015-06-08,102.48
2015-06-09,101.54
2015-06-10,100.85
2015-06-11,100.34
2015-06-12,100.78
2015-06-15,101.81
2015-06-16,101.51
2015-06-17,101.34
2015-06-18,100.84
2015-06-19,100.72
2015-06-22,101.46
2015-06-23,100.77
2015-06-24,101.11
2015-06-25,100.90
2015-06-26,101.12
2015-06-29,100.04
2015-06-30,99.66
2015-07-01,99.91
2015-07-02,99.59
2015-07-03,100.49
2015-07-06,99.80
2015-07-07,99.71
2015-07-08,99.57
2015-07-09,99.67
2015-07-10,99.20
2015-07-13,99.84
2015-07-14,99.12
2015-07-15,99.54
2015-07-16,99.01
2015-07-17,98.29
2015-07-20,98.47
2015-07-21,98.59
2015-07-22,98.59
2015-07-23,98.00
2015-07-24,98.92
2015-07-27,98.75
2015-07-28,98.21
2015-07-29,98.74
2015-07-30,98.48
2015-07-31,98.85
2015-08-03,99.11
2015-08-04,98.07
2015-08-05,98.22
2015-08-06,97.96
2015-08-07,98.35
2015-08-10,98.22
2015-08-11,98.33
2015-08-12,97.32
2015-08-13,97.75
2015-08-14,97.92
2015-08-17,98.87
2015-08-18,97.15
2015-08-19,98.40
2015-08-20,98.87
2015-08-21,98.27
2015-08-24,99.00
2015-08-25,98.59
2015-08-26,98.86
2015-08-27,99.07
2015-08-28,97.24
2015-08-31,99.57
2015-09-01,99.57
2015-09-02,99.97
2015-09-03,99.40
2015-09-04,98.78
2015-09-07,99.52
2015-09-08,99.01
2015-09-09,99.26
2015-09-10,98.94
2015-09-11,99.00
2015-09-14,99.81
2015-09-15,99.41
2015-09-16,99.49
2015-09-17,98.00
2015-09-18,100.38
2015-09-21,99.69
2015-09-22,99.94
2015-09-23,100.89
2015-09-24,99.19
2015-09-28,100.67
2015-09-29,101.19
2015-09-30,101.07
2015-10-01,101.71
2015-10-05,102.87
2015-10-06,103.52
2015-10-07,103.46
2015-10-08,103.90
2015-10-09,104.53
2015-10-12,104.83
2015-10-13,108.77
2015-10-14,107.22
2015-10-15,106.94
2015-10-16,108.64
2015-10-19,110.16
2015-10-20,109.54
2015-10-21,108.58
2015-10-23,108.05
2015-10-26,109.35
2015-10-27,110.37
2015-10-28,110.97
2015-10-29,110.86
2015-10-30,110.63
2015-10-31,110.79
2015-11-01,111.63
2015-11-02,109.63
2015-11-03,109.35
2015-11-04,109.03
2015-11-05,109.46
2015-11-06,109.39
2015-11-07,108.69
