date,value
2014-01-01,27.41
2014-01-02,27.39
2014-01-03,27.38
2014-01-06,27.04
2014-01-07,28.20
2014-01-08,27.88
2014-01-09,27.48
2014-01-10,27.47
2014-01-13,26.77
2014-01-15,26.90
2014-01-16,26.96
2014-01-17,26.73
2014-01-20,26.87
2014-01-21,26.30
2014-01-22,27.74
2014-01-23,27.45
2014-01-24,26.35
2014-01-27,27.31
2014-01-28,27.50
2014-01-30,27.52
2014-01-31,27.25
2014-02-03,26.73
2014-02-04,27.92
2014-02-05,27.44
2014-02-06,27.27
2014-02-07,26.88
2014-02-10,27.10
2014-02-11,26.59
2014-02-12,26.82
2014-02-13,27.38
2014-02-14,28.41
2014-02-17,27.37
2014-02-18,27.85
2014-02-19,27.71
2014-02-20,27.54
2014-02-21,27.89
2014-02-24,27.07
2014-02-25,27.71
2014-02-26,27.80
2014-02-27,29.93
2014-02-28,27.27
2014-03-03,27.75
2014-03-04,28.09
2014-03-05,27.80
2014-03-06,27.47
2014-03-07,27.42
2014-03-10,27.29
2014-03-11,27.88
2014-03-12,27.87
2014-03-13,27.80
2014-03-14,27.76
2014-03-18,27.65
2014-03-19,27.84
2014-03-20,27.26
2014-03-21,27.24
2014-03-24,27.60
2014-03-25,27.50
2014-03-26,27.15
2014-03-27,27.27
2014-03-28,27.28
2014-03-31,27.34
2014-04-01,28.45
2014-04-02,26.87
2014-04-03,27.42
2014-04-04,27.51
2014-04-07,27.56
2014-04-09,27.29
2014-04-11,26.61
2014-04-15,26.86
2014-04-16,26.78
2014-04-17,27.39
2014-04-21,26.98
2014-04-22,27.61
2014-04-23,27.43
2014-04-24,27.37
2014-04-25,27.76
2014-04-28,27.78
2014-04-29,27.70
2014-04-30,28.60
2014-05-01,26.17
2014-05-02,27.19
2014-05-05,27.08
2014-05-06,27.94
2014-05-07,27.19
2014-05-08,27.47
2014-05-09,27.81
2014-05-12,26.87
2014-05-13,28.00
2014-05-15,27.48
2014-05-16,27.35
2014-05-19,27.86
2014-05-20,27.44
2014-05-21,27.98
2014-05-22,27.37
2014-05-23,27.75
2014-05-26,28.06
2014-05-27,27.84
2014-05-28,27.94
2014-05-29,27.57
2014-05-30,27.58
2014-06-02,27.54
2014-06-03,27.57
2014-06-04,27.64
2014-06-05,27.50
2014-06-06,28.25
2014-06-09,28.05
2014-06-10,27.62
2014-06-11,27.65
2014-06-12,27.53
2014-06-13,27.59
2014-06-16,27.67
2014-06-17,27.57
2014-06-18,27.96
2014-06-19,27.87
2014-06-20,28.27
2014-06-23,27.53
2014-06-24,27.81
2014-06-25,28.09
2014-06-26,28.27
2014-06-27,27.83
2014-06-30,27.68
2014-07-01,28.36
2014-07-02,28.43
2014-07-03,28.37
2014-07-04,28.88
2014-07-07,28.35
2014-07-08,28.49
2014-07-09,27.76
2014-07-10,28.35
2014-07-11,27.69
2014-07-14,28.55
2014-07-15,28.23
2014-07-16,28.11
2014-07-17,28.20
2014-07-18,28.36
2014-07-21,27.74
2014-07-22,28.37
2014-07-23,28.15
2014-07-24,28.33
2014-07-25,28.51
2014-07-28,27.76
2014-07-30,28.36
2014-07-31,28.26
2014-08-01,28.11
2014-08-04,28.49
2014-08-05,28.68
2014-08-06,28.52
2014-08-07,28.48
2014-08-08,28.35
2014-08-11,27.84
2014-08-12,28.48
2014-08-13,28.57
2014-08-14,27.57
2014-08-19,27.96
2014-08-20,27.88
2014-08-21,28.84
2014-08-22,28.72
2014-08-25,27.65
2014-08-26,28.82
2014-08-27,28.39
2014-08-28,29.10
2014-08-29,28.84
2014-09-01,28.52
2014-09-02,28.67
2014-09-03,28.81
2014-09-04,28.86
2014-09-05,29.04
2014-09-08,28.73
2014-09-09,28.68
2014-09-10,28.07
2014-09-11,28.76
2014-09-12,28.93
2014-09-15,28.32
2014-09-16,27.75
2014-09-17,29.17
2014-09-18,28.96
2014-09-19,28.40
2014-09-22,29.06
2014-09-23,29.21
2014-09-24,28.93
2014-09-25,29.73
2014-09-26,29.27
2014-09-29,28.64
2014-09-30,28.96
2014-10-07,28.93
2014-10-08,29.06
2014-10-09,28.00
2014-10-10,28.38
2014-10-13,28.98
2014-10-14,28.75
2014-10-15,28.34
2014-10-16,28.86
2014-10-17,28.14
2014-10-20,28.60
2014-10-21,28.26
2014-10-22,27.42
2014-10-24,29.27
2014-10-27,28.59
2014-10-28,28.13
2014-10-29,28.69
2014-10-31,28.86
2014-11-03,27.62
2014-11-05,28.47
2014-11-07,28.58
2014-11-10,28.40
2014-11-11,28.25
2014-11-12,28.11
2014-11-13,27.90
2014-11-14,27.85
2014-11-17,28.07
2014-11-18,28.36
2014-11-19,28.09
2014-11-20,28.12
2014-11-21,28.07
2014-11-24,28.56
2014-11-25,28.00
2014-11-26,28.16
2014-11-27,28.15
2014-11-28,27.93
2014-12-01,27.13
2014-12-02,27.89
2014-12-03,27.72
2014-12-04,27.68
2014-12-05,28.13
2014-12-08,28.15
2014-12-09,28.23
2014-12-10,27.98
2014-12-11,27.86
2014-12-12,27.83
2014-12-15,27.51
2014-12-16,27.90
2014-12-17,27.84
2014-12-18,27.93
2014-12-19,27.73
2014-12-22,27.87
2014-12-23,28.09
2014-12-24,27.96
2014-12-26,28.06
2014-12-29,27.88
2014-12-30,27.86
2014-12-31,27.69
2015-01-01,27.63
2015-01-02,27.22
2015-01-05,28.21
2015-01-06,27.60
2015-01-07,27.50
2015-01-08,27.60
2015-01-09,27.63
2015-01-12,27.56
