date,value
2014-01-01,24.16
2014-01-02,23.37
2014-01-03,23.71
2014-01-06,24.00
2014-01-07,24.82
2014-01-08,24.24
2014-01-09,24.02
2014-01-10,23.20
2014-01-13,23.69
2014-01-15,24.00
2014-01-16,22.50
2014-01-17,22.37
2014-01-20,21.91
2014-01-21,21.30
2014-01-22,22.02
2014-01-23,20.88
2014-01-24,21.04
2014-01-27,20.44
2014-01-28,20.39
2014-01-30,20.50
2014-01-31,20.17
2014-02-03,18.78
2014-02-04,20.19
2014-02-05,18.92
2014-02-06,19.08
2014-02-07,18.98
2014-02-10,19.34
2014-02-11,18.94
2014-02-12,19.06
2014-02-13,19.12
2014-02-14,18.77
2014-02-17,18.81
2014-02-18,18.65
2014-02-19,17.92
2014-02-20,17.38
2014-02-21,17.76
2014-02-24,17.55
2014-02-25,17.44
2014-02-26,17.09
2014-02-27,19.40
2014-02-28,17.11
2014-03-03,17.66
2014-03-04,17.78
2014-03-05,17.43
2014-03-06,16.94
2014-03-07,16.88
2014-03-10,17.14
2014-03-11,17.63
2014-03-12,16.65
2014-03-13,17.02
2014-03-14,17.44
2014-03-18,17.30
2014-03-19,17.24
2014-03-20,17.42
2014-03-21,17.40
2014-03-24,17.35
2014-03-25,17.24
2014-03-26,17.13
2014-03-27,17.12
2014-03-28,16.94
2014-03-31,16.41
2014-04-01,16.95
2014-04-02,16.15
2014-04-03,16.73
2014-04-04,16.98
2014-04-07,16.91
2014-04-09,17.24
2014-04-11,16.30
2014-04-15,16.86
2014-04-16,17.91
2014-04-17,18.76
2014-04-21,17.69
2014-04-22,17.48
2014-04-23,17.96
2014-04-24,17.78
2014-04-25,17.68
2014-04-28,18.30
2014-04-29,17.82
2014-04-30,18.11
2014-05-01,17.24
2014-05-02,18.68
2014-05-05,17.96
2014-05-06,17.66
2014-05-07,18.63
2014-05-08,18.46
2014-05-09,18.40
2014-05-12,18.98
2014-05-13,18.67
2014-05-15,18.58
2014-05-16,19.24
2014-05-19,19.02
2014-05-20,18.65
2014-05-21,18.84
2014-05-22,18.94
2014-05-23,19.23
2014-05-26,19.51
2014-05-27,18.92
2014-05-28,18.48
2014-05-29,18.66
2014-05-30,18.69
2014-06-02,19.04
2014-06-03,19.19
2014-06-04,18.89
2014-06-05,19.20
2014-06-06,19.51
2014-06-09,19.63
2014-06-10,19.85
2014-06-11,19.89
2014-06-12,20.16
2014-06-13,20.73
2014-06-16,19.96
2014-06-17,20.82
2014-06-18,20.92
2014-06-19,21.63
2014-06-20,22.29
2014-06-23,22.90
2014-06-24,22.17
2014-06-25,22.32
2014-06-26,22.55
2014-06-27,22.92
2014-06-30,23.06
2014-07-01,24.85
2014-07-02,25.48
2014-07-03,26.02
2014-07-04,26.56
2014-07-07,27.32
2014-07-08,27.98
2014-07-09,27.70
2014-07-10,28.35
2014-07-11,28.00
2014-07-14,27.96
2014-07-15,28.82
2014-07-16,28.34
2014-07-17,28.87
2014-07-18,29.44
2014-07-21,29.15
2014-07-22,29.14
2014-07-23,29.45
2014-07-24,29.73
2014-07-25,29.33
2014-07-28,29.61
2014-07-30,29.56
2014-07-31,29.81
2014-08-01,29.75
2014-08-04,29.65
2014-08-05,29.58
2014-08-06,29.50
2014-08-07,29.15
2014-08-08,29.42
2014-08-11,28.20
2014-08-12,28.64
2014-08-13,28.46
2014-08-14,27.71
2014-08-19,27.59
