date,value
2014-01-01,23.59
2014-01-02,22.31
2014-01-03,21.96
2014-01-06,21.98
2014-01-07,21.14
2014-01-08,22.44
2014-01-09,21.39
2014-01-10,20.79
2014-01-13,21.46
2014-01-15,22.10
2014-01-16,21.31
2014-01-17,19.59
2014-01-20,19.59
2014-01-21,19.35
2014-01-22,20.20
2014-01-23,18.50
2014-01-24,18.47
2014-01-27,18.30
2014-01-28,17.83
2014-01-30,17.60
2014-01-31,16.83
2014-02-03,16.06
2014-02-04,16.17
2014-02-05,15.57
2014-02-06,16.17
2014-02-07,15.57
2014-02-10,16.06
2014-02-11,16.06
2014-02-12,16.16
2014-02-13,15.64
2014-02-14,14.64
2014-02-17,15.69
2014-02-18,15.91
2014-02-19,15.67
2014-02-20,15.17
2014-02-21,15.35
2014-02-24,15.30
2014-02-25,15.26
2014-02-26,15.34
2014-02-27,19.27
2014-02-28,14.98
2014-03-03,16.00
2014-03-04,15.58
2014-03-05,16.42
2014-03-06,15.02
2014-03-07,14.64
2014-03-10,15.72
2014-03-11,15.78
2014-03-12,14.48
2014-03-13,15.43
2014-03-14,15.81
2014-03-18,16.27
2014-03-19,16.08
2014-03-20,15.78
2014-03-21,15.29
2014-03-24,16.51
2014-03-25,16.66
2014-03-26,16.24
2014-03-27,16.43
2014-03-28,16.34
2014-03-31,16.41
2014-04-01,15.70
2014-04-02,16.15
2014-04-03,16.41
2014-04-04,15.65
2014-04-07,16.60
2014-04-09,16.60
2014-04-11,16.30
2014-04-15,17.06
2014-04-16,18.32
2014-04-17,19.30
2014-04-21,17.80
2014-04-22,17.81
2014-04-23,17.78
2014-04-24,18.33
2014-04-25,18.13
2014-04-28,18.55
2014-04-29,18.23
2014-04-30,17.97
2014-05-01,18.89
2014-05-02,19.10
2014-05-05,18.58
2014-05-06,17.53
2014-05-07,18.98
2014-05-08,18.42
2014-05-09,18.60
2014-05-12,19.02
2014-05-13,18.24
2014-05-15,18.83
2014-05-16,18.76
2014-05-19,19.38
2014-05-20,18.83
2014-05-21,18.64
2014-05-22,18.75
2014-05-23,18.93
2014-05-26,17.89
2014-05-27,17.78
2014-05-28,17.33
2014-05-29,17.23
2014-05-30,17.50
2014-06-02,17.77
2014-06-03,17.77
2014-06-04,17.17
2014-06-05,17.50
2014-06-06,17.85
2014-06-09,17.63
2014-06-10,17.54
2014-06-11,17.09
2014-06-12,17.14
2014-06-13,18.10
2014-06-16,16.53
2014-06-17,18.23
2014-06-18,17.86
2014-06-19,18.88
2014-06-20,19.02
2014-06-23,19.76
2014-06-24,18.04
2014-06-25,18.69
2014-06-26,19.02
2014-06-27,18.72
2014-06-30,18.61
2014-07-01,20.65
2014-07-02,21.34
2014-07-03,21.75
2014-07-04,22.38
2014-07-07,24.26
2014-07-08,26.07
2014-07-09,26.72
2014-07-10,27.77
2014-07-11,28.21
2014-07-14,30.29
2014-07-15,33.16
2014-07-16,33.70
2014-07-17,36.96
2014-07-18,38.49
2014-07-21,39.43
2014-07-22,44.31
2014-07-23,47.22
2014-07-24,49.56
2014-07-25,49.98
2014-07-28,52.59
2014-07-30,53.72
2014-07-31,54.08
2014-08-01,54.67
2014-08-04,56.20
2014-08-05,56.40
2014-08-06,55.51
2014-08-07,55.17
2014-08-08,54.20
2014-08-11,51.44
2014-08-12,50.11
2014-08-13,49.70
2014-08-14,47.90
2014-08-19,47.76
2014-08-20,47.67
2014-08-21,48.09
2014-08-22,47.84
2014-08-25,44.70
2014-08-26,45.64
2014-08-27,44.98
2014-08-28,44.34
2014-08-29,50.16
2014-09-01,42.95
2014-09-02,41.12
2014-09-03,40.54
2014-09-04,40.28
2014-09-05,40.46
2014-09-08,38.26
2014-09-09,37.16
2014-09-10,38.11
2014-09-11,37.73
2014-09-12,36.81
2014-09-15,37.25
2014-09-16,37.02
2014-09-17,35.62
2014-09-18,35.07
2014-09-19,34.50
2014-09-22,34.85
2014-09-23,33.89
2014-09-24,35.00
2014-09-25,31.56
2014-09-26,33.92
2014-09-29,33.45
2014-09-30,33.22
2014-10-07,30.96
2014-10-08,28.30
2014-10-09,32.57
2014-10-10,32.27
2014-10-13,32.09
2014-10-14,30.98
2014-10-15,30.14
2014-10-16,30.18
2014-10-17,30.63
2014-10-20,31.09
2014-10-21,30.07
2014-10-22,32.61
2014-10-24,27.67
2014-10-27,29.14
2014-10-28,27.19
2014-10-29,28.28
2014-10-31,28.26
2014-11-03,26.78
2014-11-05,25.73
2014-11-07,24.23
2014-11-10,25.33
2014-11-11,24.96
2014-11-12,24.23
2014-11-13,24.09
2014-11-14,23.61
2014-11-17,23.10
2014-11-18,22.91
2014-11-19,23.05
2014-11-20,22.19
2014-11-21,22.60
2014-11-24,23.25
2014-11-25,23.18
2014-11-26,24.16
2014-11-27,24.47
2014-11-28,24.61
2014-12-01,22.21
2014-12-02,22.95
2014-12-03,23.09
2014-12-04,23.75
2014-12-05,24.68
2014-12-08,23.85
2014-12-09,24.78
2014-12-10,23.36
2014-12-11,23.26
2014-12-12,23.28
2014-12-15,23.36
2014-12-16,23.07
2014-12-17,22.28
2014-12-18,22.96
2014-12-19,23.29
2014-12-22,23.03
2014-12-23,21.95
2014-12-24,21.02
2014-12-26,21.44
2014-12-29,23.13
2014-12-30,22.85
2014-12-31,22.76
2015-01-01,24.67
2015-01-02,23.44
2015-01-05,24.72
2015-01-06,23.12
2015-01-07,22.47
2015-01-08,24.52
2015-01-09,23.44
2015-01-12,22.09
2015-01-13,22.41
2015-01-14,23.48
2015-01-15,24.88
2015-01-16,24.46
2015-01-19,22.79
2015-01-20,22.35
2015-01-21,22.83
2015-01-22,22.10
2015-01-23,21.88
2015-01-27,22.06
2015-01-28,22.21
2015-01-30,22.10
2015-02-02,21.15
2015-02-03,20.40
2015-02-04,20.33
2015-02-05,21.71
2015-02-06,21.98
2015-02-09,21.10
2015-02-10,21.97
2015-02-11,21.38
2015-02-12,22.06
2015-02-13,21.05
2015-02-16,20.04
2015-02-17,21.26
2015-02-18,20.58
2015-02-19,20.07
2015-02-20,20.63
2015-02-23,21.00
2015-02-24,20.42
2015-02-25,20.16
2015-02-26,20.60
2015-02-27,19.20
2015-03-02,20.58
2015-03-03,20.18
2015-03-04,20.56
2015-03-05,21.06
2015-03-09,19.88
2015-03-10,20.02
2015-03-11,19.98
2015-03-12,19.98
2015-03-13,19.83
2015-03-16,20.13
2015-03-17,20.60
2015-03-18,21.42
2015-03-19,19.67
2015-03-20,19.84
2015-03-23,20.37
2015-03-24,20.77
2015-03-25,21.81
2015-03-26,20.97
2015-03-27,20.81
2015-03-30,20.56
2015-03-31,20.18
2015-04-01,20.52
2015-04-06,19.59
2015-04-07,18.99
2015-04-08,19.17
2015-04-09,19.43
2015-04-10,19.25
2015-04-13,19.08
2015-04-15,19.63
2015-04-16,19.77
2015-04-17,19.18
2015-04-20,18.98
2015-04-21,21.12
2015-04-22,20.12
2015-04-23,21.08
2015-04-24,21.02
2015-04-27,22.47
2015-04-28,22.54
2015-04-29,22.78
2015-04-30,22.37
2015-05-01,25.13
2015-05-05,25.08
2015-05-06,25.06
2015-05-07,25.28
2015-05-08,25.81
2015-05-11,26.15
2015-05-12,25.92
2015-05-13,26.45
2015-05-14,25.51
2015-05-15,24.94
2015-05-18,25.77
2015-05-19,25.21
2015-05-20,24.59
2015-05-21,25.26
2015-05-22,25.40
2015-05-25,26.30
2015-05-26,26.29
2015-05-27,26.55
2015-05-28,25.84
2015-05-29,25.48
2015-06-01,24.98
2015-06-02,25.04
2015-06-03,24.68
2015-06-04,24.87
2015-06-05,24.76
2015-06-08,24.89
2015-06-09,24.93
2015-06-10,24.48
2015-06-11,24.85
2015-06-12,24.71
2015-06-15,25.14
2015-06-16,26.03
2015-06-17,25.39
2015-06-18,25.40
2015-06-19,25.50
2015-06-22,26.49
2015-06-23,26.20
2015-06-24,27.06
2015-06-25,27.17
2015-06-26,25.83
2015-06-29,27.42
2015-06-30,27.37
2015-07-01,27.62
2015-07-02,27.34
2015-07-03,28.56
2015-07-06,27.79
2015-07-07,28.17
2015-07-08,27.86
2015-07-09,28.06
2015-07-10,28.85
2015-07-13,29.10
